dataset,server_or_source,method_or_run,rows,latest_epoch,latest_map5095,latest_map50,best_map5095,best_epoch,late5_map5095,late10_map5095,late20_map5095,late50_map5095,relative_path
DroneVehicle/sub2k_or_curves,local,ProbeA,200,200.0,0.36524,0.57056,0.3694,133.0,0.365368,0.36564,0.365227,0.3657708,evidence/local/dronevehicle_method_search_20260623/plot_data/probeA_curves/img512_detonly_control.csv
DroneVehicle/sub2k_or_curves,local,ProbeA,200,200.0,0.4248,0.62123,0.43299,142.0,0.42425199999999996,0.424005,0.42436100000000004,0.4257682,evidence/local/dronevehicle_method_search_20260623/plot_data/probeA_curves/img512_ir_teacher.csv
DroneVehicle/sub2k_or_curves,local,ProbeA,200,200.0,0.36404,0.56438,0.36449,178.0,0.364072,0.363965,0.3638,0.36263039999999996,evidence/local/dronevehicle_method_search_20260623/plot_data/probeA_curves/img512_probeA.csv
DroneVehicle/sub2k_or_curves,local,ProbeA,200,200.0,0.35385,0.55255,0.36087,141.0,0.3537,0.35421199999999997,0.35409999999999997,0.354891,evidence/local/dronevehicle_method_search_20260623/plot_data/probeA_curves/img512_rgb_baseline.csv
OGSOD,local_copy_3090_or_plot,detonly/control,178,178.0,0.38979,0.63512,0.38979,178.0,0.388988,0.387455,0.384605,0.3764638,evidence/local/ogsod_yoloinit_curves_20260624/data/3090/detonly_control.csv
OGSOD,local_copy_3090_or_plot,dynamic,20,20.0,0.16624,0.36646,0.16624,20.0,0.150808,0.137511,0.09904199999999999,0.09904199999999999,evidence/local/ogsod_yoloinit_curves_20260624/data/3090/dynamic_plain.csv
OGSOD,local_copy_3090_or_plot,3090,142,142.0,0.37444,0.62328,0.37444,142.0,0.372912,0.37143000000000004,0.368716,0.359176,evidence/local/ogsod_yoloinit_curves_20260624/data/3090/singleproj.csv
OGSOD,local_copy_3090_or_plot,3090,122,122.0,0.35555,0.60837,0.35555,122.0,0.354462,0.353004,0.350244,0.34156359999999997,evidence/local/ogsod_yoloinit_curves_20260624/data/3090/wo_reach_stopped.csv
OGSOD,local_copy_3090_or_plot,3090,149,149.0,0.37826,0.62957,0.37826,149.0,0.377692,0.376209,0.3735355,0.3646728,evidence/local/ogsod_yoloinit_curves_20260624/data/3090/wo_s_rec.csv
OGSOD,local_copy_4090_or_plot,detonly/control,398,398.0,0.48332,0.74588,0.48367,397.0,0.483104,0.48249899999999996,0.48073550000000004,0.47638739999999996,evidence/local/ogsod_yoloinit_curves_20260624/data/4090/detonly_e800.csv
OGSOD,local_copy_4090_or_plot,dynamic,256,256.0,0.44119,0.70535,0.44119,256.0,0.439958,0.43885199999999996,0.436586,0.42950099999999997,evidence/local/ogsod_yoloinit_curves_20260624/data/4090/dynamic_e800.csv
OGSOD,local_copy_4090_or_plot,ProbeA,152,152.0,0.3851,0.63876,0.3851,152.0,0.38374600000000003,0.382322,0.3796545,0.3711428,evidence/local/ogsod_yoloinit_curves_20260624/data/4090/oldcommit_probeA_e700.csv
