epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
28,4872.28,2.23749,1.42809,1.15049,1.79264,0.9818,1.02005,3.60824,2.93114,0.11413,0.00131,0.56166,0.471628,0.470141,0.453781,0.225511,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912
29,5037.32,2.2322,1.4274,1.15277,1.78783,0.98009,1.01914,3.52564,2.8649,0.11093,0.0013,0.54851,0.498917,0.460556,0.461665,0.230262,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
30,5202,2.23237,1.42425,1.1497,1.78663,0.97673,1.01649,3.71895,3.03467,0.11121,0.00127,0.57181,0.52179,0.466977,0.471214,0.235287,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216
31,5366.39,2.2266,1.409,1.14016,1.78319,0.96459,1.01076,3.5632,2.88273,0.11398,0.00114,0.56535,0.527028,0.468606,0.477609,0.239659,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
32,5531.86,2.20089,1.38628,1.13881,1.76371,0.95332,1.00977,3.61571,2.92957,0.10872,0.00117,0.57625,0.506019,0.46984,0.475524,0.242752,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401
33,5696.99,2.19409,1.38277,1.13749,1.77016,0.9625,1.01047,3.62744,2.94445,0.11366,0.00129,0.56805,0.514894,0.479442,0.484187,0.247208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
34,5862.07,2.18248,1.36359,1.13432,1.76452,0.94752,1.01079,3.49237,2.81566,0.10783,0.00134,0.56755,0.51754,0.487641,0.487489,0.256069,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467
35,6025.77,2.16765,1.35525,1.12789,1.75013,0.94094,1.0007,3.52311,2.84567,0.11394,0.00137,0.56214,0.54143,0.490363,0.499052,0.264225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
36,6188.27,2.16313,1.34238,1.12158,1.74732,0.93903,0.99923,3.43731,2.77858,0.10906,0.00134,0.54833,0.538096,0.505974,0.504814,0.263033,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
37,6353.12,2.15382,1.32261,1.11785,1.74155,0.93093,0.99566,3.56044,2.84446,0.11,0.00143,0.60455,0.54525,0.50552,0.506849,0.269691,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
