epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
28,4420.26,2.23059,1.42823,1.15531,1.79443,0.986,1.02152,3.03228,2.92063,0.11021,0.00143,0,0.499934,0.451233,0.445738,0.221408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912
29,4579.16,2.22319,1.42291,1.15414,1.79126,0.98182,1.02317,2.94979,2.82869,0.11979,0.0013,0,0.514239,0.460012,0.458078,0.235435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
30,4738.66,2.21762,1.41585,1.14918,1.79128,0.97671,1.0198,3.04778,2.9369,0.10954,0.00134,0,0.530343,0.457863,0.464803,0.235357,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216
31,4894.9,2.21138,1.39031,1.13865,1.78936,0.96868,1.01755,2.96932,2.84677,0.12111,0.00144,0,0.517959,0.469162,0.472809,0.24041,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
32,5051.77,2.19024,1.37479,1.13758,1.77626,0.96479,1.0168,2.96344,2.84868,0.11352,0.00125,0,0.51797,0.480517,0.471316,0.241743,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401
33,5208.28,2.19225,1.38398,1.1395,1.76701,0.96496,1.01194,2.97693,2.85642,0.11902,0.00149,0,0.513845,0.486647,0.485377,0.245856,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
34,5366.2,2.17869,1.36624,1.12982,1.76126,0.9495,1.01131,2.95338,2.83856,0.11353,0.00129,0,0.537263,0.481851,0.48587,0.254308,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467
35,5526.38,2.15189,1.3452,1.12095,1.75099,0.9379,1.00384,2.85686,2.73928,0.11606,0.00152,0,0.507724,0.483138,0.487337,0.257653,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
36,5685.41,2.16722,1.34356,1.12326,1.74474,0.93801,1.00123,2.90409,2.78195,0.12067,0.00146,0,0.52526,0.506843,0.503546,0.265183,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
37,5841.22,2.15381,1.32482,1.11929,1.73891,0.9324,0.99657,2.88441,2.76182,0.12122,0.00137,0,0.53017,0.51061,0.506949,0.262449,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
