epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,4353.47,2.21181,1.40847,1.15692,1.79176,0.98657,1.0191,1.44734,1.44734,0,0,0,0.505366,0.452783,0.462664,0.234539,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
30,4507.52,2.21466,1.41071,1.15593,1.79135,0.98483,1.0188,1.4743,1.4743,0,0,0,0.514089,0.468062,0.468959,0.243464,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216
31,4662.26,2.20923,1.40124,1.14331,1.78556,0.97237,1.0135,1.46429,1.46429,0,0,0,0.508223,0.45991,0.46568,0.236653,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
32,4821.2,2.19789,1.38297,1.14572,1.76715,0.95773,1.01005,1.45692,1.45692,0,0,0,0.485465,0.476273,0.467973,0.236233,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401
33,4975.95,2.18597,1.37309,1.13994,1.7663,0.9632,1.00989,1.4288,1.4288,0,0,0,0.517444,0.48204,0.477235,0.242426,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
34,5131.37,2.17191,1.3563,1.13564,1.76083,0.94869,1.01066,1.40775,1.40775,0,0,0,0.55061,0.4788,0.492477,0.254158,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467
35,5287.7,2.15501,1.34524,1.12988,1.74886,0.94258,0.99876,1.40687,1.40687,0,0,0,0.566995,0.490509,0.506203,0.264938,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
36,5446.38,2.1592,1.33598,1.12973,1.75109,0.93715,0.99765,1.43004,1.43004,0,0,0,0.561557,0.486844,0.500436,0.263243,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
37,5599.65,2.1436,1.32061,1.12355,1.73786,0.92883,0.99324,1.42448,1.42448,0,0,0,0.54404,0.501964,0.508906,0.268816,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
38,5755.31,2.1419,1.31279,1.1214,1.73503,0.9243,0.99282,1.37968,1.37968,0,0,0,0.549697,0.503844,0.514824,0.271044,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246
