epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
28,4224.46,2.24098,1.43659,1.15868,1.79446,0.98559,1.0206,1.66935,1.48233,0.18694,9e-05,0,0.511423,0.44554,0.448865,0.219932,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912
29,4379.1,2.22383,1.42188,1.16021,1.78466,0.98399,1.01873,1.65646,1.46241,0.19396,9e-05,0,0.467018,0.463562,0.450374,0.224747,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
30,4533.51,2.21548,1.41582,1.15192,1.79381,0.9839,1.02049,1.74043,1.55705,0.18328,9e-05,0,0.505971,0.474633,0.464717,0.235266,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216
31,4688.92,2.218,1.40412,1.14178,1.78092,0.96784,1.01295,1.6868,1.50581,0.1809,9e-05,0,0.520814,0.463176,0.466263,0.237068,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
32,4848.6,2.20762,1.39749,1.14548,1.77217,0.95986,1.01426,1.63998,1.46917,0.17074,7e-05,0,0.486692,0.475535,0.464909,0.234413,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401
33,5001.75,2.19012,1.38478,1.14258,1.7696,0.96213,1.0135,1.67733,1.49699,0.18025,9e-05,0,0.50365,0.495277,0.488224,0.251229,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
34,5155.83,2.18327,1.37178,1.14102,1.75869,0.94786,1.01086,1.69471,1.53045,0.16417,9e-05,0,0.489217,0.488923,0.488243,0.251158,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467
35,5309.71,2.16397,1.35724,1.13422,1.74892,0.93998,1.00213,1.63258,1.46167,0.17082,9e-05,0,0.545176,0.480533,0.494905,0.261824,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
36,5466.96,2.17067,1.34219,1.12846,1.74627,0.93663,1.00106,1.6095,1.43754,0.17188,8e-05,0,0.506981,0.503014,0.496163,0.263774,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
37,5619.11,2.15066,1.32384,1.12083,1.74172,0.92966,0.99599,1.60563,1.4311,0.17444,9e-05,0,0.543028,0.502454,0.508933,0.265047,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
