source,model,seed,stage,run_name,epoch,ap50,ap,best_ap_so_far,best_epoch_so_far,train_box_loss,train_cls_loss,train_dfl_loss,lr_pg0
4090dual,yolo11s,0,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1,1,0.901520,0.605700,0.605700,1,0.766150,0.379790,0.803840,0.00300000
4090dual,yolo11s,0,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1,2,0.900520,0.609920,0.609920,2,0.769210,0.378650,0.803720,0.00299999
4090dual,yolo11s,0,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1,10,0.902630,0.611260,0.617410,4,0.779500,0.378530,0.803400,0.00299907
4090dual,yolo11s,0,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1,50,0.906650,0.621080,0.621080,50,0.806010,0.387130,0.805300,0.00297259
4090dual,yolo11s,0,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1,100,0.913070,0.626070,0.626070,100,0.791920,0.382460,0.806190,0.00288918
4090dual,yolo11s,0,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1,150,0.915210,0.628220,0.628540,146,0.783740,0.377320,0.805540,0.00275296
4090dual,yolo11s,0,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1,200,0.916430,0.631930,0.632040,193,0.779000,0.374410,0.803540,0.00256917
4090dual,yolo11s,0,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1,263,0.918120,0.633880,0.633880,263,0.755490,0.364980,0.800090,0.00228094
4090dual,yolo11s,0,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1,300,0.916760,0.632450,0.633880,263,0.746680,0.359710,0.801320,0.00208867
4090dual,yolo11s,0,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1,400,0.912470,0.631000,0.633880,263,0.711790,0.346910,0.797680,0.00152083
4090dual,yolo11s,0,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1,500,0.906900,0.625890,0.633880,263,0.671410,0.328690,0.794110,0.00095211
4090dual,yolo11s,0,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1,600,0.901440,0.620020,0.633880,263,0.633270,0.314920,0.791460,0.00046908
4090dual,yolo11s,0,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1,700,0.896470,0.617740,0.633880,263,0.606750,0.304390,0.789600,0.00014528
4090dual,yolo11s,0,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1,800,0.896760,0.617590,0.633880,263,0.591770,0.298590,0.790270,0.00003001
