epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
63,13174.8,2.2604,1.60732,1.14366,2.08735,1.64432,1.14333,0.28276,0.551624,0.468991,0.477228,0.255497,nan,nan,nan,nan,nan,nan,nan,0.0084655,0.0084655,0.0084655
64,13382.4,2.22923,1.58748,1.14289,2.06443,1.64013,1.1461,0.27027,0.548389,0.468618,0.477029,0.25571,nan,nan,nan,nan,nan,nan,nan,0.00844075,0.00844075,0.00844075
65,13591.8,2.23731,1.58477,1.14142,2.07045,1.63797,1.14256,0.26914,0.537919,0.470577,0.478855,0.256571,nan,nan,nan,nan,nan,nan,nan,0.008416,0.008416,0.008416
66,13804.6,2.24561,1.58562,1.14011,2.07476,1.62516,1.13488,0.26416,0.541814,0.471918,0.480754,0.257768,nan,nan,nan,nan,nan,nan,nan,0.00839125,0.00839125,0.00839125
67,14009.7,2.2344,1.57487,1.14277,2.0713,1.63037,1.1447,nan,0.545856,0.472703,0.4815,0.258365,nan,nan,nan,nan,nan,nan,nan,0.0083665,0.0083665,0.0083665
68,14220.3,2.25134,1.5744,1.14051,2.07259,1.61689,1.1407,0.25335,0.544943,0.472463,0.483134,0.259365,nan,nan,nan,nan,nan,nan,nan,0.00834175,0.00834175,0.00834175
69,14423.1,2.21444,1.56634,1.14157,2.05689,1.60919,1.14741,0.26111,0.550049,0.47233,0.484397,0.260387,nan,nan,nan,nan,nan,nan,nan,0.008317,0.008317,0.008317
70,14637.9,2.2213,1.55563,1.14286,2.05689,1.60423,1.15072,0.25174,0.550564,0.475405,0.484099,0.260794,nan,nan,nan,nan,nan,nan,nan,0.00829225,0.00829225,0.00829225
71,14846.3,2.22259,1.55643,1.13453,2.07158,1.62354,1.14983,0.26245,0.553864,0.475903,0.485365,0.261399,nan,nan,nan,nan,nan,nan,nan,0.0082675,0.0082675,0.0082675
72,15051.9,2.21177,1.55853,1.14025,2.06248,1.61088,1.15879,0.26822,0.554626,0.478178,0.487447,0.262356,nan,nan,nan,nan,nan,nan,nan,0.00824275,0.00824275,0.00824275
73,15262.3,2.23066,1.5698,1.14063,2.07041,1.6208,1.15901,0.25166,0.551229,0.479649,0.488058,0.263197,nan,nan,nan,nan,nan,nan,nan,0.008218,0.008218,0.008218
74,15467.2,2.22009,1.55708,1.13779,2.06818,1.60437,1.15581,0.25788,0.549875,0.48259,0.488968,0.263966,nan,nan,nan,nan,nan,nan,nan,0.00819325,0.00819325,0.00819325
75,15684,2.19468,1.54248,1.13558,2.04556,1.59426,1.15965,0.24611,0.557,0.479429,0.489671,0.26439,nan,nan,nan,nan,nan,nan,nan,0.0081685,0.0081685,0.0081685
76,15889.6,2.20415,1.54645,1.13074,2.06406,1.60265,1.15996,0.25259,0.55562,0.480208,0.490701,0.265331,nan,nan,nan,nan,nan,nan,nan,0.00814375,0.00814375,0.00814375
77,16097.7,2.20268,1.54769,1.13625,2.05849,1.6012,1.16165,0.25667,0.554206,0.483663,0.491509,0.266019,nan,nan,nan,nan,nan,nan,nan,0.008119,0.008119,0.008119
78,16308.7,2.19136,1.53148,1.12652,2.05256,1.58272,1.15663,0.25339,0.551615,0.485707,0.491988,0.267212,nan,nan,nan,nan,nan,nan,nan,0.00809425,0.00809425,0.00809425
79,16517.3,2.19516,1.52786,1.13162,2.05745,1.58427,1.16652,0.24667,0.554398,0.484894,0.492305,0.267711,nan,nan,nan,nan,nan,nan,nan,0.0080695,0.0080695,0.0080695
80,16723.8,2.18944,1.52797,1.1299,2.04517,1.57661,1.16414,0.2453,0.553457,0.486161,0.492975,0.268474,nan,nan,nan,nan,nan,nan,nan,0.00804475,0.00804475,0.00804475
81,16938.7,2.19273,1.52977,1.12708,2.06732,1.58926,1.17079,0.24576,0.554251,0.48504,0.493262,0.269111,nan,nan,nan,nan,nan,nan,nan,0.00802,0.00802,0.00802
82,17151,2.20578,1.53527,1.13001,2.07529,1.59485,1.17507,0.25935,0.555456,0.48582,0.494247,0.269621,nan,nan,nan,nan,nan,nan,nan,0.00799525,0.00799525,0.00799525
83,17358.3,2.17718,1.50241,1.12195,2.06612,1.57783,1.17368,0.24958,0.558242,0.486352,0.495038,0.270403,nan,nan,nan,nan,nan,nan,nan,0.0079705,0.0079705,0.0079705
84,17580.8,2.20028,1.528,1.12656,2.07938,1.59773,1.18035,0.25077,0.558247,0.487555,0.496083,0.270983,nan,nan,nan,nan,nan,nan,nan,0.00794575,0.00794575,0.00794575
85,17789,2.16616,1.50096,1.12521,2.06082,1.58352,1.18264,0.24784,0.557496,0.489303,0.496512,0.271607,nan,nan,nan,nan,nan,nan,nan,0.007921,0.007921,0.007921
86,17996.7,2.17789,1.50756,1.12085,2.07139,1.58429,1.18257,0.25566,0.558586,0.48948,0.496884,0.271809,nan,nan,nan,nan,nan,nan,nan,0.00789625,0.00789625,0.00789625
87,18204.6,2.17712,1.50748,1.12336,2.06727,1.58625,1.18561,0.27262,0.556662,0.491453,0.497601,0.272452,nan,nan,nan,nan,nan,nan,nan,0.0078715,0.0078715,0.0078715
88,18408.9,2.17857,1.51338,1.121,2.08437,1.58544,1.191,0.26648,0.560296,0.490847,0.498105,0.272909,nan,nan,nan,nan,nan,nan,nan,0.00784675,0.00784675,0.00784675
89,18618.5,2.17601,1.50269,1.12313,2.07935,1.58293,1.19372,0.25767,0.56337,0.490621,0.499142,0.273573,nan,nan,nan,nan,nan,nan,nan,0.007822,0.007822,0.007822
90,18823.4,2.17348,1.50118,1.11282,2.07977,1.58992,1.18928,0.25551,0.564052,0.490847,0.500791,0.274232,nan,nan,nan,nan,nan,nan,nan,0.00779725,0.00779725,0.00779725
91,19033.2,2.1836,1.50104,1.11453,2.07939,1.59164,1.19357,0.25441,0.563542,0.493132,0.501077,0.274823,nan,nan,nan,nan,nan,nan,nan,0.0077725,0.0077725,0.0077725
92,19254.2,2.1504,1.47553,1.11621,2.07684,1.5848,1.2009,0.25555,0.564125,0.493743,0.501558,0.275432,nan,nan,nan,nan,nan,nan,nan,0.00774775,0.00774775,0.00774775
93,19460.9,2.14668,1.47782,1.12113,2.07799,1.58681,1.20839,0.24976,0.564887,0.494894,0.502361,0.275824,nan,nan,nan,nan,nan,nan,nan,0.007723,0.007723,0.007723
94,19680.2,2.15212,1.47226,1.1154,2.091,1.59192,1.20604,0.24411,0.560601,0.496194,0.502681,0.276331,nan,nan,nan,nan,nan,nan,nan,0.00769825,0.00769825,0.00769825
95,19901.3,2.14407,1.47228,1.11964,2.08187,1.59195,1.21386,0.24544,0.563582,0.497021,0.503078,0.276954,nan,nan,nan,nan,nan,nan,nan,0.0076735,0.0076735,0.0076735
96,20102.3,2.1671,1.48345,1.11423,2.11547,1.61178,1.22173,0.24209,0.564997,0.496932,0.504345,0.277567,nan,nan,nan,nan,nan,nan,nan,0.00764875,0.00764875,0.00764875
97,20320.5,2.15491,1.47227,1.11191,2.09866,1.59897,1.22134,0.24761,0.564857,0.497855,0.504811,0.277795,nan,nan,nan,nan,nan,nan,nan,0.007624,0.007624,0.007624
98,20527.2,2.14814,1.48195,1.11051,2.10579,1.60705,1.22583,0.23771,0.56795,0.495573,0.504911,0.278038,nan,nan,nan,nan,nan,nan,nan,0.00759925,0.00759925,0.00759925
99,20735.6,2.14793,1.46682,1.11582,2.11634,1.62165,1.23888,0.23862,0.569327,0.495044,0.504773,0.278481,nan,nan,nan,nan,nan,nan,nan,0.0075745,0.0075745,0.0075745
100,20945.9,2.14819,1.47504,1.10996,2.12293,1.62217,1.23889,0.23343,0.569362,0.497155,0.50503,0.279023,nan,nan,nan,nan,nan,nan,nan,0.00754975,0.00754975,0.00754975
101,21153.3,2.14847,1.46123,1.11056,2.13064,1.62502,1.24275,0.23419,0.569716,0.495439,0.505128,0.27934,nan,nan,nan,nan,nan,nan,nan,0.007525,0.007525,0.007525
102,21353.3,2.14904,1.4693,1.10829,2.12913,1.62414,1.24701,0.22872,0.572499,0.493712,0.505247,0.279866,nan,nan,nan,nan,nan,nan,nan,0.00750025,0.00750025,0.00750025
103,21519,2.12268,1.45588,1.11008,2.1262,1.63438,1.25536,0.22264,0.572017,0.494235,0.505997,0.280288,nan,nan,nan,nan,nan,nan,nan,0.0074755,0.0074755,0.0074755
104,21688.8,2.14025,1.45208,1.10135,2.13647,1.62664,1.24737,0.22385,0.572126,0.494738,0.506469,0.280716,nan,nan,nan,nan,nan,nan,nan,0.00745075,0.00745075,0.00745075
105,21841.1,2.14183,1.46623,1.10847,2.14129,1.63898,1.26391,0.2152,0.570838,0.496243,0.506727,0.281044,nan,nan,nan,nan,nan,nan,nan,0.007426,0.007426,0.007426
106,21975.8,2.12289,1.45121,1.11536,2.15408,1.64804,1.276,0.20056,0.57052,0.497617,0.507295,0.281234,nan,nan,nan,nan,nan,nan,nan,0.00740125,0.00740125,0.00740125
107,22109.8,2.14977,1.46079,1.10788,2.16852,1.65541,1.26851,0.1978,0.571955,0.496543,0.507452,0.281596,nan,nan,nan,nan,nan,nan,nan,0.0073765,0.0073765,0.0073765
108,22243.9,2.13108,1.44797,1.11132,2.16473,1.67182,1.28544,0.19523,0.571342,0.499066,0.507811,0.28198,nan,nan,nan,nan,nan,nan,nan,0.00735175,0.00735175,0.00735175
