run_id,method,source_server,validity,protocol_id,mosaic,epochs_planned,schedule_class,role,claim_usable,model_size,seed,phase,rows,best_ap,best_epoch,last_ap,last_epoch,best_ap50,last_ap50,canonical_path,results_path,diagnostics_path,git_commit
cclkd_paper_repro_yolo11s_s123_400ep_online,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,s,123,,60,0.316734,60,0.316734,60,0.562417,0.562417,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction/cclkd_paper_repro_yolo11s_s123_400ep_online,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction/cclkd_paper_repro_yolo11s_s123_400ep_online/results.csv,,
sar_yolo11s_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s123,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,s,123,,400,0.45434,400,0.45434,400,0.72274,0.72274,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar/sar_yolo11s_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s123,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar/sar_yolo11s_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s123/results.csv,,
cclkd_paper_repro_yolo11s_s42_400ep_online,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,s,42,,95,0.352254,95,0.352254,95,0.603088,0.603088,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction/cclkd_paper_repro_yolo11s_s42_400ep_online,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction/cclkd_paper_repro_yolo11s_s42_400ep_online/results.csv,,
sar_yolo11s_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s42,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,s,42,,400,0.46111,400,0.46111,400,0.72982,0.72982,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar/sar_yolo11s_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s42,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar/sar_yolo11s_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s42/results.csv,,
cclkd_n_400,cclkd,ladd4090,diagnostic,formal_nomosaic_compressed,0,400,compressed,diagnostic,partial,n,0,,400,0.527932,400,0.527932,400,0.795515,0.795413,docs/experiments/ladd_h1_diag_20260610_artifacts/cclkd_n_400,docs/experiments/ladd_h1_diag_20260610_artifacts/cclkd_n_400/results.csv,,
online_cclkd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cclkd_online_from_yolo_s0_laddproto400_auto_sepclip_lld_fld_e400_b64_s0_gpu0,cclkd,ladd4090,diagnostic,formal_nomosaic_compressed,0,400,compressed,diagnostic,partial,n,0,,47,0.304455,47,0.304455,47,0.544969,0.544969,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/online_cclkd/yolo11n/cclkd_auto_sepclip/online_cclkd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cclkd_online_from_yolo_s0_laddproto400_auto_sepclip_lld_fld_e400_b64_s0_gpu0,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/online_cclkd/yolo11n/cclkd_auto_sepclip/online_cclkd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cclkd_online_from_yolo_s0_laddproto400_auto_sepclip_lld_fld_e400_b64_s0_gpu0/results.csv,,
online_cclkd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cclkd_online_from_yolo_s0_laddproto400_auto_sepclip_lld_fld_rld_e400_b64_s0_gpu0,cclkd,ladd4090,diagnostic,formal_nomosaic_compressed,0,400,compressed,diagnostic,partial,n,0,,46,0.30071,46,0.30071,46,0.545977,0.545977,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/online_cclkd/yolo11n/cclkd_auto_sepclip/online_cclkd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cclkd_online_from_yolo_s0_laddproto400_auto_sepclip_lld_fld_rld_e400_b64_s0_gpu0,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/online_cclkd/yolo11n/cclkd_auto_sepclip/online_cclkd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cclkd_online_from_yolo_s0_laddproto400_auto_sepclip_lld_fld_rld_e400_b64_s0_gpu0/results.csv,,
online_cclkd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cclkd_online_from_yolo_s0_laddproto400_auto_sepclip_patmpos_cclanchor_atkd_e400_b64_s0_gpu1,cclkd,ladd4090,diagnostic,formal_nomosaic_compressed,0,400,compressed,diagnostic,partial,n,0,,31,0.237237,31,0.237237,31,0.470842,0.470842,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/online_cclkd/yolo11n/cclkd_auto_sepclip_patmpos_cclanchor/online_cclkd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cclkd_online_from_yolo_s0_laddproto400_auto_sepclip_patmpos_cclanchor_atkd_e400_b64_s0_gpu1,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/online_cclkd/yolo11n/cclkd_auto_sepclip_patmpos_cclanchor/online_cclkd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cclkd_online_from_yolo_s0_laddproto400_auto_sepclip_patmpos_cclanchor_atkd_e400_b64_s0_gpu1/results.csv,,
online_cclkd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cclkd_online_from_yolo_s0_laddproto400_auto_sepclip_patmpos_cclanchor_ccl_only_e400_b64_s0_gpu1,cclkd,ladd4090,diagnostic,formal_nomosaic_compressed,0,400,compressed,diagnostic,partial,n,0,,31,0.233789,31,0.233789,31,0.463785,0.463785,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/online_cclkd/yolo11n/cclkd_auto_sepclip_patmpos_cclanchor/online_cclkd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cclkd_online_from_yolo_s0_laddproto400_auto_sepclip_patmpos_cclanchor_ccl_only_e400_b64_s0_gpu1,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/online_cclkd/yolo11n/cclkd_auto_sepclip_patmpos_cclanchor/online_cclkd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cclkd_online_from_yolo_s0_laddproto400_auto_sepclip_patmpos_cclanchor_ccl_only_e400_b64_s0_gpu1/results.csv,,
online_cclkd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cclkd_online_from_yolo_s0_laddproto400_auto_sepclip_patmpos_cclanchor_full_e400_b64_s0_gpu1,cclkd,ladd4090,diagnostic,formal_nomosaic_compressed,0,400,compressed,diagnostic,partial,n,0,,31,0.236687,30,0.234488,31,0.47513,0.47513,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/online_cclkd/yolo11n/cclkd_auto_sepclip_patmpos_cclanchor/online_cclkd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cclkd_online_from_yolo_s0_laddproto400_auto_sepclip_patmpos_cclanchor_full_e400_b64_s0_gpu1,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/online_cclkd/yolo11n/cclkd_auto_sepclip_patmpos_cclanchor/online_cclkd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cclkd_online_from_yolo_s0_laddproto400_auto_sepclip_patmpos_cclanchor_full_e400_b64_s0_gpu1/results.csv,,
