category,method,modality,model,seed,phase,protocol,best_map50_95,best_epoch,final_epoch,final_map50_95,best_final_drop,sar_baseline_best,sar_baseline_final,sar_baseline_drop,method_final_minus_sar_baseline_best,method_final_minus_sar_baseline_final,excess_drop_vs_sar_baseline,last20_slope_per_epoch,last20_delta,last50_slope_per_epoch,last50_delta,last100_slope_per_epoch,last100_delta,source_kind,source_path,notes,train/box_loss_bestwin_mean,train/box_loss_finalwin_mean,train/box_loss_delta_final_minus_bestwin,train/cls_loss_bestwin_mean,train/cls_loss_finalwin_mean,train/cls_loss_delta_final_minus_bestwin,train/dfl_loss_bestwin_mean,train/dfl_loss_finalwin_mean,train/dfl_loss_delta_final_minus_bestwin,val/box_loss_bestwin_mean,val/box_loss_finalwin_mean,val/box_loss_delta_final_minus_bestwin,val/cls_loss_bestwin_mean,val/cls_loss_finalwin_mean,val/cls_loss_delta_final_minus_bestwin,val/dfl_loss_bestwin_mean,val/dfl_loss_finalwin_mean,val/dfl_loss_delta_final_minus_bestwin,train_det_loss_sum_bestwin_mean,train_det_loss_sum_finalwin_mean,train_det_loss_sum_delta_final_minus_bestwin,val_det_loss_sum_bestwin_mean,val_det_loss_sum_finalwin_mean,val_det_loss_sum_delta_final_minus_bestwin
ladd_capacity_kd,s B det-only r2,sar,yolo11s,0,A1,formal_nomosaic_20260528_ladd_diag,0.62878,1,10,0.62878,0.00000,0.62897,0.62233,0.00664,-0.00019,0.00645,-0.00664,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,results_csv,ladd/results/capacity_kd_20260611/bdetonly_b400_r2/a1_results.csv,A1 starts from converged SAR baseline and remains near baseline.; status=complete,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
ladd_capacity_kd,s B det-only r2,sar,yolo11s,0,A2,formal_nomosaic_20260528_ladd_diag,0.62400,50,50,0.62400,0.00000,0.62897,0.62233,0.00664,-0.00497,0.00167,-0.00664,0.00036,0.00678,0.00015,0.00723,0.00015,0.00723,results_csv,ladd/results/capacity_kd_20260611/bdetonly_b400_r2/a2_results.csv,"A2 is not det-only; LADD_A2_DET_ONLY=0, so B inherits an already degraded A2 checkpoint.; status=complete",0.67714,0.68104,0.00390,0.33654,0.33794,0.00140,0.79454,0.79526,0.00072,1.04101,1.04236,0.00135,0.44775,0.44845,0.00070,0.84032,0.84067,0.00036,1.80822,1.81424,0.00603,2.32908,2.33149,0.00241
ladd_capacity_kd,s B det-only r2,sar,yolo11s,0,B,formal_nomosaic_20260528_ladd_diag,0.62244,68,74,0.62191,0.00053,0.62897,0.62233,0.00664,-0.00706,-0.00042,-0.00611,0.00007,0.00140,0.00032,0.01582,0.00005,0.00385,results_csv,ladd/results/capacity_kd_20260611/bdetonly_b400_r2/b_results_snapshot_20260611_2020.csv,"Snapshot only; B has LADD_B_DET_ONLY=1 and kd_loss=0, but starts from degraded A2.; status=running_snapshot",0.78905,0.78732,-0.00173,0.38203,0.38036,-0.00167,0.80440,0.80332,-0.00108,1.04738,1.04664,-0.00075,0.44754,0.44693,-0.00060,0.84137,0.84150,0.00013,1.97547,1.97100,-0.00448,2.33629,2.33507,-0.00122
ladd_capacity_kd,m A2 probe,sar,yolo11m,0,A2,formal_nomosaic_20260528_ladd_diag,0.65026,10,50,0.63725,0.01301,0.65580,0.64903,0.00677,-0.01855,-0.01178,0.00624,0.00015,0.00292,0.00009,0.00442,0.00009,0.00442,results_csv,ladd/results/capacity_kd_20260611/m_a2_probe/a2_results.csv,"A2 best already below m safe threshold, so m full B should not be launched under this config.; status=complete",0.69219,0.59677,-0.09542,0.33178,0.29341,-0.03836,0.79726,0.79014,-0.00712,1.08137,1.04874,-0.03262,0.46438,0.45172,-0.01266,0.85327,0.84870,-0.00457,1.82123,1.68033,-0.14090,2.39902,2.34916,-0.04985
ladd_capacity_kd,m A2 probe,sar,yolo11m,0,B1,formal_nomosaic_20260528_ladd_diag,0.62528,1,1,0.62528,0.00000,0.65580,0.64903,0.00677,-0.03052,-0.02375,-0.00677,,,,,,,results_csv,ladd/results/capacity_kd_20260611/m_a2_probe/b1_results.csv,Diagnostic B=1 continuation after degraded A2; not a formal m B result.; status=complete,0.68397,0.68397,0.00000,0.33278,0.33278,0.00000,0.79722,0.79722,0.00000,1.06575,1.06575,0.00000,0.45689,0.45689,0.00000,0.85554,0.85554,0.00000,1.81397,1.81397,0.00000,2.37818,2.37818,0.00000
comparison_transfer,fgd,sar,yolo11n,0,B,formal_nomosaic_20260610_transfer,0.52982,1,242,0.38095,0.14887,0.55654,0.55127,0.00527,-0.17559,-0.17032,0.14360,,,,,,,status_markdown_snapshot,comparison/FORMAL_TRANSFER_STATUS_20260611_CN.md,"from comparison/FORMAL_TRANSFER_STATUS_20260611_CN.md; running rows are latest snapshots, not final completion unless status complete",,,,,,,,,,,,,,,,,,,,,,,,
comparison_transfer,ld,sar,yolo11n,0,B,formal_nomosaic_20260610_transfer,0.57035,640,644,0.56989,0.00046,0.55654,0.55127,0.00527,0.01335,0.01862,-0.00481,,,,,,,status_markdown_snapshot,comparison/FORMAL_TRANSFER_STATUS_20260611_CN.md,"from comparison/FORMAL_TRANSFER_STATUS_20260611_CN.md; running rows are latest snapshots, not final completion unless status complete",,,,,,,,,,,,,,,,,,,,,,,,
comparison_transfer,hallucidet_style,sar,yolo11n,0,B,formal_nomosaic_20260610_transfer,0.57365,785,800,0.57239,0.00126,0.55654,0.55127,0.00527,0.01585,0.02112,-0.00401,,,,,,,status_markdown_snapshot,comparison/FORMAL_TRANSFER_STATUS_20260611_CN.md,"from comparison/FORMAL_TRANSFER_STATUS_20260611_CN.md; running rows are latest snapshots, not final completion unless status complete",,,,,,,,,,,,,,,,,,,,,,,,
comparison_transfer,fgd,sar,yolo11s,0,B,formal_nomosaic_20260610_transfer,0.61673,1,227,0.58786,0.02887,0.62897,0.62233,0.00664,-0.04111,-0.03447,0.02223,,,,,,,status_markdown_snapshot,comparison/FORMAL_TRANSFER_STATUS_20260611_CN.md,"from comparison/FORMAL_TRANSFER_STATUS_20260611_CN.md; running rows are latest snapshots, not final completion unless status complete",,,,,,,,,,,,,,,,,,,,,,,,
comparison_transfer,ld,sar,yolo11s,0,B,formal_nomosaic_20260610_transfer,0.64390,612,613,0.64386,0.00004,0.62897,0.62233,0.00664,0.01489,0.02153,-0.00660,,,,,,,status_markdown_snapshot,comparison/FORMAL_TRANSFER_STATUS_20260611_CN.md,"from comparison/FORMAL_TRANSFER_STATUS_20260611_CN.md; running rows are latest snapshots, not final completion unless status complete",,,,,,,,,,,,,,,,,,,,,,,,
comparison_transfer,hallucidet_style,sar,yolo11s,0,B,formal_nomosaic_20260610_transfer,0.64310,639,800,0.63124,0.01186,0.62897,0.62233,0.00664,0.00227,0.00891,0.00522,,,,,,,status_markdown_snapshot,comparison/FORMAL_TRANSFER_STATUS_20260611_CN.md,"from comparison/FORMAL_TRANSFER_STATUS_20260611_CN.md; running rows are latest snapshots, not final completion unless status complete",,,,,,,,,,,,,,,,,,,,,,,,
comparison_hallucidet_local_partial,hallucidet_90slot_partial,sar,yolo11n,0,B,formal_nomosaic_20260528_from_yolo_pretrain,0.33079,61,61,0.33079,0.00000,0.55654,0.55127,0.00527,-0.22575,-0.22048,-0.00527,0.00241,0.04575,0.00435,0.21295,0.00453,0.27180,results_csv,comparison/hallucidet/results/90_formal_nomosaic_20260528/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/hallucidet/transfer_hallucidet_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_hallucidet_from_yolo_s0_90slot1_b_e800_b64_s0_gpu1/results.csv,local archived HalluciDet CSV is only an early partial run; not the complete HalluciDet-style status row,2.01062,2.01807,0.00746,1.17608,1.18435,0.00826,1.07434,1.07796,0.00362,1.79321,1.79996,0.00675,1.00376,1.00973,0.00597,0.99878,1.00044,0.00166,4.26104,4.28038,0.01934,3.79575,3.81013,0.01438
comparison_hallucidet_local_partial,hallucidet_90slot_partial,sar,yolo11s,0,B,formal_nomosaic_20260528_from_yolo_pretrain,0.40823,62,62,0.40823,0.00000,0.62897,0.62233,0.00664,-0.22074,-0.21410,-0.00664,0.00332,0.06300,0.00502,0.24577,0.00561,0.34248,results_csv,comparison/hallucidet/results/90_formal_nomosaic_20260528/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11s/hallucidet/transfer_hallucidet_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_hallucidet_from_yolo_s0_90slot1_b_e800_b64_s0_gpu2/results.csv,local archived HalluciDet CSV is only an early partial run; not the complete HalluciDet-style status row,1.77135,1.77725,0.00590,0.94735,0.95260,0.00524,1.00511,1.00686,0.00175,1.56454,1.57465,0.01011,0.80110,0.80714,0.00604,0.94239,0.94474,0.00235,3.72382,3.73671,0.01289,3.30803,3.32653,0.01850
