epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4806.75,2.21143,1.39613,1.14389,1.76912,0.96086,1.01113,5.80301,3.04873,0.08993,2.66436,0,0.524061,0.484564,0.476394,0.244151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401
33,4958.64,2.19312,1.39059,1.14134,1.7746,0.96834,1.01399,5.7297,2.92703,0.09783,2.70484,0,0.532915,0.479812,0.484518,0.24799,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
34,5110.84,2.19294,1.37383,1.13678,1.75413,0.94563,1.0066,5.85219,3.06501,0.08907,2.69811,0,0.521285,0.483662,0.486481,0.252687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467
35,5263.05,2.17449,1.36407,1.12973,1.74799,0.94047,1.00192,5.85511,2.92866,0.0905,2.83596,0,0.550982,0.478942,0.487786,0.254066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
36,5412.5,2.17767,1.36415,1.12595,1.75334,0.93756,1.0022,5.46932,2.81915,0.08459,2.56557,0,0.533444,0.498502,0.498681,0.260212,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
37,5562.13,2.16464,1.33002,1.12172,1.74364,0.92619,0.99911,5.51356,2.8133,0.08924,2.61102,0,0.561248,0.495069,0.503609,0.260131,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
38,5714.03,2.15053,1.32303,1.12142,1.73962,0.92581,0.99847,5.54641,2.8239,0.09443,2.62808,0,0.566843,0.505686,0.513287,0.271443,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246
39,5866.42,2.14637,1.32565,1.12045,1.72255,0.91561,0.9965,5.52856,2.73221,0.08936,2.70699,0,0.588723,0.501457,0.518007,0.269815,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
40,6018.08,2.12475,1.31253,1.11021,1.72213,0.91574,0.99136,5.51091,2.82147,0.09404,2.59541,0,0.569214,0.511997,0.5252,0.2789,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696
41,6168.62,2.11998,1.30462,1.10996,1.71549,0.90729,0.99371,5.53616,2.84681,0.09198,2.59737,0,0.576422,0.509636,0.524635,0.278206,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
42,6317.97,2.12557,1.30009,1.10671,1.71955,0.91087,0.99271,5.23357,2.7343,0.08724,2.41203,0,0.560241,0.516847,0.524068,0.279533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0292367,0.00974557,0.0292367,0.00974557,0.0292367,0.00974557,0.0292367,0.00974557
