epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
44,10495.9,2.34724,1.73675,1.17274,2.11688,1.76707,1.14471,2.48708,0.496924,0.415719,0.417311,0.213775,nan,nan,nan,nan,nan,nan,nan,0.00893575,0.00893575,0.00893575
45,10736.3,2.3488,1.70459,1.16202,2.14144,1.76373,1.14586,2.37909,0.50514,0.425089,0.426305,0.218668,nan,nan,nan,nan,nan,nan,nan,0.008911,0.008911,0.008911
46,10985.1,2.35019,1.69925,1.15818,2.13481,1.74958,1.14404,2.37218,0.513426,0.430686,0.43026,0.222805,nan,nan,nan,nan,nan,nan,nan,0.00888625,0.00888625,0.00888625
47,11220.7,2.32495,1.69277,1.16434,2.09989,1.72629,1.14194,2.42052,0.514103,0.429222,0.431176,0.222449,nan,nan,nan,nan,nan,nan,nan,0.0088615,0.0088615,0.0088615
48,11464.3,2.31314,1.67792,1.16206,2.10798,1.73708,1.14508,2.45966,0.521674,0.435187,0.436319,0.226202,nan,nan,nan,nan,nan,nan,nan,0.00883675,0.00883675,0.00883675
49,11711.5,2.32385,1.67857,1.1597,2.1101,1.72484,1.14254,2.37138,0.520753,0.436193,0.436172,0.226924,nan,nan,nan,nan,nan,nan,nan,0.008812,0.008812,0.008812
50,11951.7,2.31793,1.66475,1.1538,2.11019,1.70896,1.1375,2.25364,0.518086,0.439158,0.440641,0.229227,nan,nan,nan,nan,nan,nan,nan,0.00878725,0.00878725,0.00878725
51,12190.4,2.31105,1.66297,1.15531,2.10152,1.70558,1.14128,2.33217,0.529039,0.441419,0.4446,0.232339,nan,nan,nan,nan,nan,nan,nan,0.0087625,0.0087625,0.0087625
52,12434.9,2.32239,1.67134,1.15549,2.10098,1.70633,1.14021,2.27257,0.527246,0.442672,0.446398,0.232259,nan,nan,nan,nan,nan,nan,nan,0.00873775,0.00873775,0.00873775
53,12678.9,2.31514,1.6656,1.15131,2.09225,1.70172,1.13856,2.29196,0.530698,0.443295,0.448887,0.234307,nan,nan,nan,nan,nan,nan,nan,0.008713,0.008713,0.008713
54,12920.7,2.3224,1.67379,1.15091,2.10513,1.70348,1.14014,2.30458,0.523094,0.448012,0.451735,0.23501,nan,nan,nan,nan,nan,nan,nan,0.00868825,0.00868825,0.00868825
55,13173.3,2.30058,1.65238,1.15421,2.0871,1.68769,1.14235,2.20313,0.525562,0.45309,0.453206,0.23602,nan,nan,nan,nan,nan,nan,nan,0.0086635,0.0086635,0.0086635
56,13420.2,2.2904,1.64008,1.15266,2.08122,1.6819,1.14187,2.25507,0.525195,0.452151,0.452968,0.238152,nan,nan,nan,nan,nan,nan,nan,0.00863875,0.00863875,0.00863875
57,13659.2,2.2933,1.63787,1.14442,2.09337,1.67923,1.13806,2.10852,0.532501,0.450103,0.452479,0.238852,nan,nan,nan,nan,nan,nan,nan,0.008614,0.008614,0.008614
58,13916.8,2.27236,1.6339,1.15469,2.08111,1.67216,1.1478,2.1885,0.540537,0.451051,0.455571,0.241136,nan,nan,nan,nan,nan,nan,nan,0.00858925,0.00858925,0.00858925
59,14154.8,2.28219,1.64582,1.14895,2.09365,1.67242,1.14394,2.15126,0.536302,0.454601,0.458104,0.242616,nan,nan,nan,nan,nan,nan,nan,0.0085645,0.0085645,0.0085645
60,14402.8,2.27031,1.62041,1.14241,2.07776,1.66615,1.14242,2.12932,0.541022,0.460054,0.460844,0.243693,nan,nan,nan,nan,nan,nan,nan,0.00853975,0.00853975,0.00853975
61,14653,2.27539,1.61662,1.14885,2.07628,1.65007,1.148,2.08263,0.548401,0.457354,0.462017,0.243976,nan,nan,nan,nan,nan,nan,nan,0.008515,0.008515,0.008515
62,14890.8,2.27168,1.62413,1.14452,2.10169,1.67419,1.14552,2.10738,0.537182,0.462399,0.463784,0.245073,nan,nan,nan,nan,nan,nan,nan,0.00849025,0.00849025,0.00849025
63,15144.7,2.28018,1.63182,1.1454,2.08799,1.64736,1.14423,2.07175,0.545368,0.461055,0.464699,0.245955,nan,nan,nan,nan,nan,nan,nan,0.0084655,0.0084655,0.0084655
64,15385.4,2.25318,1.60817,1.14478,2.06444,1.6404,1.14749,2.03863,0.54028,0.461023,0.463627,0.246297,nan,nan,nan,nan,nan,nan,nan,0.00844075,0.00844075,0.00844075
65,15630.1,2.26523,1.60404,1.14252,2.07119,1.63933,1.14401,2.04823,0.538442,0.462918,0.465002,0.247276,nan,nan,nan,nan,nan,nan,nan,0.008416,0.008416,0.008416
