epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,cmdistill_pcc_levels,cmdistill_slrd_tokens,cmdistill_ibcld_candidate_ratio,cmdistill_ibcld_fg_count,cmdistill_ibcld_teacher_conf_added_count,cmdistill_ibcld_cls_loss,cmdistill_ibcld_box_loss,cmdistill_pcc_loss,cmdistill_relation_loss,cmdistill_ibcld_loss,cmdistill_total_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nonfinite_metrics_or_cmdistill,nonfinite_bn_stats,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,b_loss_warmup_mode,b_loss_warmup_start_epoch,b_loss_warmup_end_epoch,b_loss_warmup_final_mult,b_loss_warmup_scope,b_loss_warmup_multiplier,b_loss_warmup_active,ladd_b_a2_core,ladd_b_frozen_reach_probe,ladd_b_detach_reach_probe,ladd_b_keep_reach_probe_grad,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
21,b,0.029954222405936946,0.009984740801978984,0.029954222405936946,2.37362,1.61873,1.23365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0939025878906,5.376380443572998,17.19257164001465,37.2244987487793,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
22,b,0.029949532861980873,0.009983177620660292,0.029949532861980873,2.363,1.60953,1.22465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.3567810058594,5.5774993896484375,17.45318031311035,34.609947204589844,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.7333333333333333,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
23,b,0.029944615090920175,0.009981538363640059,0.029944615090920175,2.34747,1.58568,1.22093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.3393859863281,5.723703861236572,17.776880264282227,38.29304885864258,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.7666666666666667,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
24,b,0.02993946916859297,0.009979823056197656,0.02993946916859297,2.33575,1.57296,1.21569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.77069091796875,5.993988037109375,18.81546974182129,38.253292083740234,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
25,b,0.029934095174355736,0.009978031724785246,0.029934095174355736,2.31899,1.55038,1.20188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.62799072265625,6.108963966369629,19.065196990966797,35.57679748535156,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.8333333333333334,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
26,b,0.029928493191082123,0.009976164397027375,0.029928493191082123,2.31201,1.53933,1.20242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.67633056640625,6.332429885864258,19.803178787231445,36.76319885253906,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.8666666666666667,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
27,b,0.029922663305161638,0.009974221101720547,0.029922663305161638,2.30403,1.5337,1.19475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.6841125488281,6.419015884399414,20.571218490600586,37.50069808959961,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
28,b,0.02991660560649833,0.009972201868832778,0.02991660560649833,2.2879,1.51612,1.19114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.5213317871094,6.576251983642578,20.57762336730957,35.17683029174805,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.9333333333333333,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
29,b,0.029910320188509417,0.00997010672950314,0.029910320188509417,2.26869,1.50073,1.17886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.656982421875,6.713070869445801,20.940526962280273,35.53010177612305,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.9666666666666667,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
30,b,0.02990380714812381,0.00996793571604127,0.02990380714812381,2.264,1.48295,1.18309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.04351806640625,6.858836650848389,21.47687530517578,39.54974365234375,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
