epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,6198.88,2.10941,1.29154,1.10803,1.72334,0.91343,0.99122,1.34079,0.543134,0.512346,0.518729,0.279187,nan,nan,nan,nan,nan,nan,nan,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696
41,6352.39,2.11097,1.28643,1.10779,1.72754,0.91548,0.99381,1.27994,0.547782,0.521648,0.519943,0.279278,nan,nan,nan,nan,nan,nan,nan,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
42,6507.84,2.09832,1.27687,1.10498,1.71956,0.90761,0.98891,1.34225,0.556796,0.521917,0.531092,0.288239,nan,nan,nan,nan,nan,nan,nan,0.0292367,0.00974557,0.0292367,0.00974557,0.0292367,0.00974557,0.0292367,0.00974557
43,6663.14,2.09286,1.269,1.10649,1.70747,0.90359,0.98776,1.31723,0.553124,0.515908,0.525644,0.286557,nan,nan,nan,nan,nan,nan,nan,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
44,6817.68,2.08215,1.25865,1.09862,1.69483,0.88745,0.98301,1.27529,0.544987,0.53202,0.531383,0.290119,nan,nan,nan,nan,nan,nan,nan,0.0291612,0.00972039,0.0291612,0.00972039,0.0291612,0.00972039,0.0291612,0.00972039
45,6972.4,2.08526,1.26217,1.10069,1.70261,0.89238,0.98628,1.29791,0.554847,0.529437,0.535252,0.293353,nan,nan,nan,nan,nan,nan,nan,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
46,7127.86,2.06712,1.25069,1.09162,1.69368,0.89509,0.98436,1.27572,0.560935,0.535407,0.539353,0.294956,nan,nan,nan,nan,nan,nan,nan,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
47,7283.46,2.06169,1.24044,1.09456,1.69188,0.89424,0.98471,1.31585,0.573931,0.534574,0.543419,0.300735,nan,nan,nan,nan,nan,nan,nan,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
48,7439.27,2.05108,1.22577,1.09113,1.68295,0.88313,0.97736,1.28106,0.585136,0.541115,0.549402,0.307676,nan,nan,nan,nan,nan,nan,nan,0.0289997,0.00966656,0.0289997,0.00966656,0.0289997,0.00966656,0.0289997,0.00966656
49,7596.34,2.05205,1.22702,1.08856,1.68445,0.88455,0.9797,1.30402,0.587854,0.540763,0.553019,0.310383,nan,nan,nan,nan,nan,nan,nan,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
50,7751.86,2.0435,1.22482,1.08601,1.68164,0.87554,0.97887,1.25646,0.588376,0.5426,0.555032,0.313466,nan,nan,nan,nan,nan,nan,nan,0.0289138,0.00963794,0.0289138,0.00963794,0.0289138,0.00963794,0.0289138,0.00963794
51,7905.98,2.02782,1.20923,1.07995,1.66959,0.86328,0.97454,1.29501,0.594784,0.54495,0.558636,0.314553,nan,nan,nan,nan,nan,nan,nan,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
52,8060.84,2.02356,1.20542,1.07946,1.66861,0.87082,0.97218,1.25942,0.593417,0.545984,0.557702,0.313512,nan,nan,nan,nan,nan,nan,nan,0.0288246,0.00960819,0.0288246,0.00960819,0.0288246,0.00960819,0.0288246,0.00960819
53,8216.07,2.01543,1.19069,1.07945,1.66262,0.85939,0.97555,1.2374,0.585367,0.549718,0.561202,0.314688,nan,nan,nan,nan,nan,nan,nan,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
54,8371.96,2.0181,1.1964,1.07574,1.66203,0.86341,0.97289,1.21417,0.597406,0.543942,0.562777,0.316631,nan,nan,nan,nan,nan,nan,nan,0.0287319,0.00957731,0.0287319,0.00957731,0.0287319,0.00957731,0.0287319,0.00957731
