epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
36,5394.14,2.17565,1.35411,1.15695,1.75084,0.94017,1.00122,0.25097,0.528777,0.494311,0.496442,0.259144,nan,nan,nan,nan,nan,nan,nan,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
37,5546.17,2.15998,1.33826,1.15112,1.74657,0.92979,0.99728,0.2395,0.546466,0.504499,0.507594,0.26597,nan,nan,nan,nan,nan,nan,nan,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
38,5697.19,2.14417,1.32064,1.15226,1.73255,0.9264,0.99682,0.23598,0.549053,0.507326,0.509417,0.265642,nan,nan,nan,nan,nan,nan,nan,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246
39,5848.79,2.12788,1.31357,1.14155,1.72173,0.91398,0.99471,0.24033,0.568585,0.506829,0.513399,0.270431,nan,nan,nan,nan,nan,nan,nan,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
40,6000.23,2.13177,1.3075,1.14108,1.71742,0.91158,0.99056,0.21882,0.560266,0.514721,0.519749,0.273287,nan,nan,nan,nan,nan,nan,nan,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696
41,6152.7,2.1131,1.299,1.13366,1.71758,0.91059,0.9944,0.23148,0.570614,0.514821,0.522559,0.27716,nan,nan,nan,nan,nan,nan,nan,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
42,6305.2,2.11789,1.29011,1.13292,1.71795,0.90857,0.98999,0.2326,0.576732,0.512357,0.519384,0.279268,nan,nan,nan,nan,nan,nan,nan,0.0292367,0.00974557,0.0292367,0.00974557,0.0292367,0.00974557,0.0292367,0.00974557
43,6457.2,2.11087,1.28709,1.13021,1.71753,0.90485,0.98988,0.23312,0.56909,0.521652,0.527707,0.286543,nan,nan,nan,nan,nan,nan,nan,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
44,6609.18,2.0907,1.26762,1.12076,1.69419,0.89527,0.98438,0.22717,0.586866,0.532151,0.53914,0.288733,nan,nan,nan,nan,nan,nan,nan,0.0291612,0.00972039,0.0291612,0.00972039,0.0291612,0.00972039,0.0291612,0.00972039
45,6760.12,2.10271,1.27869,1.12952,1.69453,0.88774,0.98396,0.2334,0.589954,0.530049,0.540959,0.290548,nan,nan,nan,nan,nan,nan,nan,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
46,6913.1,2.0878,1.25858,1.11989,1.69542,0.89169,0.98201,0.23633,0.585587,0.52818,0.541405,0.292551,nan,nan,nan,nan,nan,nan,nan,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
47,7064.6,2.06746,1.24619,1.11844,1.68011,0.88185,0.9793,0.23872,0.5953,0.528496,0.546606,0.300537,nan,nan,nan,nan,nan,nan,nan,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
