epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,5105.75,2.18534,1.37555,1.13755,1.76944,0.96518,1.01096,3.11358,0.532097,0.488003,0.48265,0.248093,nan,nan,nan,nan,nan,nan,nan,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
34,5261.18,2.18268,1.3644,1.13407,1.76422,0.9499,1.01257,3.12097,0.545394,0.482948,0.493037,0.257698,nan,nan,nan,nan,nan,nan,nan,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467
35,5416.87,2.15567,1.34424,1.12345,1.74938,0.94366,1.00107,3.01516,0.53196,0.49503,0.497058,0.262322,nan,nan,nan,nan,nan,nan,nan,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
36,5572.38,2.16258,1.34289,1.12181,1.7504,0.9433,1.00264,2.97366,0.529118,0.503985,0.496512,0.260077,nan,nan,nan,nan,nan,nan,nan,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
37,5728.1,2.15254,1.32549,1.11771,1.74119,0.92509,0.99531,3.04903,0.548258,0.503816,0.509249,0.266923,nan,nan,nan,nan,nan,nan,nan,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
38,5884.28,2.14629,1.32169,1.1205,1.73242,0.92338,0.99445,3.02314,0.549155,0.503809,0.509334,0.267753,nan,nan,nan,nan,nan,nan,nan,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246
39,6041.07,2.12849,1.30912,1.11099,1.72394,0.91636,0.99637,2.98493,0.564471,0.513904,0.518735,0.271041,nan,nan,nan,nan,nan,nan,nan,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
40,6197.89,2.12182,1.30069,1.10774,1.72163,0.91438,0.9901,2.90939,0.543097,0.511197,0.512385,0.272224,nan,nan,nan,nan,nan,nan,nan,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696
41,6356.17,2.10803,1.28154,1.10355,1.71483,0.90986,0.99574,2.93172,0.548652,0.515617,0.518312,0.276057,nan,nan,nan,nan,nan,nan,nan,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
42,6514.34,2.11116,1.286,1.10418,1.7137,0.91016,0.99062,2.83314,0.576243,0.520887,0.532186,0.287582,nan,nan,nan,nan,nan,nan,nan,0.0292367,0.00974557,0.0292367,0.00974557,0.0292367,0.00974557,0.0292367,0.00974557
43,6671.92,2.09854,1.27276,1.09901,1.71527,0.90509,0.99031,2.84744,0.56427,0.532165,0.537581,0.289074,nan,nan,nan,nan,nan,nan,nan,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
