line,phase,run_name,rows,best_ap,best_epoch,last_ap,extra_active,max_t_sep_loss,max_s_sep_loss,max_r_aux_loss,max_u_aux_loss,max_mask_reg_loss,max_recon_task_loss,max_rs_comp_loss,max_r_obb_loss,max_s_repel_loss,max_path_b_loss,max_r_sar_loss,max_dkd_loss,max_proto_cls_loss,results_path
mainline_stability,a1,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_a1_e10_b64_s0_gpu1,10,0.62878,1,0.62878,t_sep;u_aux,0.00121,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/mainline_stability_20260609/remote_4090dual/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_a1_e10_b64_s0_gpu1/results.csv
a2_damage,,s_alphaKD0p25_B400,402,0.63027,199,0.61719,s_sep;r_aux,0.0,0.00264,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_alphaKD0p25_B400/results.csv
a2_damage,a1,m_A2_lr3e4_retry2_A1,10,0.65533,1,0.65533,t_sep;u_aux,0.00097,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/m_A2_lr3e4_retry2_A1/results.csv
a2_damage,a2,s_A2_lr3e4_short15_A2,15,0.63159,13,0.62383,t_sep,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_A2_lr3e4_short15_A2/results.csv
a2_damage,b1,s_A2_short15_B1,1,0.60061,1,0.60061,s_sep;r_aux,0.0,0.00338,0.00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_A2_short15_B1/results.csv
a2_damage,a1,s_A2_detonly_A1,10,0.62878,1,0.62878,t_sep;u_aux,0.00121,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_A2_detonly_A1/results.csv
a2_damage,a2,s_A2_lr3e4_A2,50,0.63309,13,0.62443,t_sep,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_A2_lr3e4_A2/results.csv
a2_damage,a1,s_A2_short15_A1,10,0.62878,1,0.62878,t_sep;u_aux,0.00121,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_A2_short15_A1/results.csv
a2_damage,b1,s_A2_detonly_B1,1,0.6024,1,0.6024,s_sep;r_aux,0.0,0.00334,0.00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_A2_detonly_B1/results.csv
a2_damage,a2,s_alphaKD0p25_A2,50,0.62771,29,0.62532,t_sep;u_aux,0.0004,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_alphaKD0p25_A2/results.csv
a2_damage,a1,s_alphaKD0p5_A1,10,0.62878,1,0.62878,t_sep;u_aux,0.00121,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_alphaKD0p5_A1/results.csv
a2_damage,a2,s_B_detonly_r2_A2,50,0.624,50,0.624,t_sep;u_aux,0.00023,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_B_detonly_r2_A2/results.csv
a2_damage,b1,s_A2_lr3e4_short15_B1,1,0.60193,1,0.60193,s_sep;r_aux,0.0,0.00341,0.00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_A2_lr3e4_short15_B1/results.csv
a2_damage,a1,s_A2_lr3e4_short15_A1,10,0.62878,1,0.62878,t_sep;u_aux,0.00121,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_A2_lr3e4_short15_A1/results.csv
a2_damage,,m_A2_lr3e4_retry2_A2_incomplete,40,0.64707,4,0.64123,t_sep,0.00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/m_A2_lr3e4_retry2_A2_incomplete/results.csv
a2_damage,a1,s_A2_lr3e4_A1,10,0.62878,1,0.62878,t_sep;u_aux,0.00121,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_A2_lr3e4_A1/results.csv
a2_damage,a1,m_A2_detonly_A1,10,0.65533,1,0.65533,t_sep;u_aux,0.00097,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/m_A2_detonly_A1/results.csv
a2_damage,a1,s_alphaKD0p25_A1,10,0.62878,1,0.62878,t_sep;u_aux,0.00121,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_alphaKD0p25_A1/results.csv
a2_damage,a2,s_A2_short15_A2,15,0.63025,13,0.6215,t_sep,0.00023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_A2_short15_A2/results.csv
a2_damage,b1,s_A2_lr3e4_B1,1,0.60436,1,0.60436,s_sep;r_aux,0.0,0.00337,0.00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_A2_lr3e4_B1/results.csv
a2_damage,,s_alphaKD0p5_B400,402,0.63074,218,0.61802,s_sep;r_aux,0.0,0.00292,0.00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_alphaKD0p5_B400/results.csv
a2_damage,b1,m_A2_detonly_B1,1,0.62422,1,0.62422,s_sep;r_aux,0.0,0.0047,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/m_A2_detonly_B1/results.csv
a2_damage,a2,s_alphaKD0p5_A2,50,0.624,50,0.624,t_sep;u_aux,0.00023,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_alphaKD0p5_A2/results.csv
a2_damage,a1,s_B_detonly_r2_A1,10,0.62878,1,0.62878,t_sep;u_aux,0.00121,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/final_evidence/runs/s_B_detonly_r2_A1/results.csv
a2_damage,a2,a2,50,0.63309,13,0.62443,t_sep,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/runs/s_a2_lr3e4/a2/results.csv
a2_damage,b1,b1,1,0.60436,1,0.60436,s_sep;r_aux,0.0,0.00337,0.00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/runs/s_a2_lr3e4/b1/results.csv
a2_damage,a1,a1,10,0.62878,1,0.62878,t_sep;u_aux,0.00121,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/runs/s_a2_lr3e4/a1/results.csv
a2_damage,b1,b1,1,0.6024,1,0.6024,s_sep;r_aux,0.0,0.00334,0.00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_damage_20260612/runs/s_a2_detonly/b1/results.csv
