epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_alpha_sep,effective_lambda_residual_aux,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
36,b,0.002985995470558712,0.0009953318235195708,0.002985995470558712,1.09805,0.53995,0.8435,0.70654,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
37,b,0.002985185131709088,0.000995061710569696,0.002985185131709088,1.09295,0.53795,0.84537,0.63697,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
38,b,0.0029843521207860275,0.0009947840402620093,0.0029843521207860275,1.09369,0.54015,0.84406,0.66495,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
39,b,0.0029834964506355896,0.0009944988168785298,0.0029834964506355896,1.09819,0.5393,0.84525,0.63985,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
40,b,0.002982618134453266,0.0009942060448177553,0.002982618134453266,1.08656,0.53699,0.84332,0.72323,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
41,b,0.0029817171857837795,0.000993905728594593,0.0029817171857837795,1.09683,0.5418,0.84518,0.69847,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
42,b,0.0029807936185208732,0.000993597872840291,0.0029807936185208732,1.09603,0.53923,0.84482,0.68035,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
43,b,0.002979847446907096,0.0009932824823023652,0.002979847446907096,1.09373,0.54041,0.84533,0.71162,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
44,b,0.0029788786855335847,0.0009929595618445282,0.0029788786855335847,1.10048,0.53964,0.8464,0.67803,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
45,b,0.0029778873493398394,0.000992629116446613,0.0029778873493398394,1.09211,0.53645,0.84391,0.63635,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
46,b,0.002976873453613489,0.0009922911512044964,0.002976873453613489,1.10151,0.54212,0.84602,0.65424,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
47,b,0.002975837013990061,0.0009919456713300204,0.002975837013990061,1.0979,0.5438,0.8476,0.59042,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
48,b,0.0029747780464527353,0.0009915926821509118,0.0029747780464527353,1.10079,0.53897,0.84336,0.66403,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
49,b,0.002973696567332103,0.000991232189110701,0.002973696567332103,1.09348,0.54077,0.84493,0.65121,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
50,b,0.0029725925933059083,0.000990864197768636,0.0029725925933059083,1.09753,0.53906,0.84457,0.60326,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
51,b,0.002971466141398797,0.000990488713799599,0.002971466141398797,1.08872,0.53557,0.84199,0.57931,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
52,b,0.0029703172289820517,0.0009901057429940172,0.0029703172289820517,1.09765,0.53958,0.84374,0.55553,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
53,b,0.002969145873773322,0.0009897152912577741,0.002969145873773322,1.09201,0.53609,0.84467,0.5833,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
