epoch,tcld_loss,ncld_loss,loc_cold,candidate_count,target_candidate_count,nontarget_candidate_count,tcld_terms,ncld_terms,candidate_iou_mean,candidate_iou_positive_count,effective_iwm_weight_mean
136,0.00081571611,0.00097895961,0.0013868175,17885.803,17885.803,35771.605,192.26579,263.89105,0,0,1
137,0.00080974901,0.00097356294,0.0013784363,17667.1,17667.1,35334.199,191.98911,263.21133,0,0,1
138,0.00079568225,0.00095399731,0.0013518383,17682.17,17682.17,35364.34,190.78214,262.4292,0,0,1
139,0.00080852013,0.00096851616,0.0013727763,17536.924,17536.924,35073.848,187.83224,260.22003,0,0,1
140,0.00080747268,0.00096983579,0.0013735723,17572.363,17572.363,35144.727,190.1525,261.71677,0,0,1
141,0.00080081669,0.00096289511,0.0013633026,17943.188,17943.188,35886.375,191.82135,262.80173,0,0,1
142,0.00082362921,0.00098612916,0.0013979439,17433.186,17433.186,34866.371,187.47495,260.23093,0,0,1
143,0.00083914574,0.0010064436,0.001426018,17620.033,17620.033,35240.066,191.51634,263.34857,0,0,1
144,0.00088682934,0.0010604865,0.0015039012,17490.176,17490.176,34980.352,190.69499,262.51416,0,0,1
145,0.0008624593,0.0010376382,0.0014688679,17425.885,17425.885,34851.77,191.12636,262.16776,0,0,1
146,0.00086128851,0.0010319607,0.0014626047,17517.441,17517.441,35034.883,189.19608,261.55554,0,0,1
147,0.00082696608,0.00099627778,0.0014097617,17512.203,17512.203,35024.406,189.74509,261.2941,0,0,1
148,0.0008321132,0.0010006243,0.0014166802,17919.971,17919.971,35839.941,191.54683,262.33331,0,0,1
149,0.00082974858,0.00099494238,0.0014098164,17596.146,17596.146,35192.293,191.244,262.83441,0,0,1
150,0.00079212408,0.00094446313,0.0013405246,17904.836,17904.836,35809.672,190.24182,262.27014,0,0,1
151,0.00080236548,0.00096065569,0.0013618384,17288.779,17288.779,34577.559,187.75816,260.72113,0,0,1
152,0.00080327573,0.00096165366,0.0013632912,16827.621,16827.621,33655.242,186.72766,259.05228,0,0,1
153,0.00083144952,0.00099705637,0.0014127811,17107.043,17107.043,34214.086,188.59259,260.76688,0,0,1
154,0.00080336386,0.00096037576,0.0013620576,17130.627,17130.627,34261.254,184.2135,257.56427,0,0,1
155,0.00080789102,0.0009678934,0.0013718384,16843.588,16843.588,33687.176,186.3878,259.69934,0,0,1
156,0.00079524552,0.0009502577,0.0013478806,16797.055,16797.055,33594.109,189.51634,261.57516,0,0,1
157,0.00078504108,0.00093464472,0.0013271659,16728.713,16728.713,33457.426,184.92157,257.94116,0,0,1
158,0.00080808898,0.0009712,0.0013752438,16653.951,16653.951,33307.902,188.94553,260.32678,0,0,1
159,0.0008027872,0.00095949403,0.0013608877,16696.131,16696.131,33392.262,185.2854,258.37689,0,0,1
160,0.00079410814,0.0009521863,0.0013492404,16265.388,16265.388,32530.775,183.24837,255.80174,0,0,1
161,0.00080425071,0.00096550229,0.0013676273,17128.443,17128.443,34256.887,188.19826,259.81046,0,0,1
162,0.00079782348,0.00095723907,0.0013561511,16777.227,16777.227,33554.453,187.02614,259.25488,0,0,1
163,0.000785971,0.0009431481,0.0013361337,16991.414,16991.414,33982.828,188.87363,260.25488,0,0,1
164,0.00080154993,0.00095848413,0.0013592598,16374.42,16374.42,32748.84,184.55991,257.40088,0,0,1
