epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_alpha_sep,effective_lambda_residual_aux,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
28,b,0.002497048120005623,0.0008323493733352076,0.002497048120005623,0.7868,0.3789,0.80371,0.14829,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
29,b,0.0024615746247768043,0.0008205248749256015,0.0024615746247768043,0.7875,0.38112,0.80238,0.14256,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
30,b,0.0024251669746746703,0.0008083889915582234,0.0024251669746746703,0.77848,0.37684,0.80364,0.13797,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
31,b,0.002387861099654323,0.0007959536998847743,0.002387861099654323,0.77933,0.37635,0.80491,0.1433,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
32,b,0.002349693816110414,0.0007832312720368047,0.002349693816110414,0.7786,0.37626,0.80282,0.13668,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
33,b,0.00231070279054381,0.0007702342635146033,0.00231070279054381,0.77008,0.3747,0.80311,0.13777,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
34,b,0.002270926502389301,0.0007569755007964337,0.002270926502389301,0.77204,0.37567,0.80369,0.1362,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
35,b,0.002230404206041047,0.000743468068680349,0.002230404206041047,0.77331,0.37555,0.80243,0.12505,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
36,b,0.0021891758921132273,0.0007297252973710758,0.0021891758921132273,0.77067,0.37457,0.8009,0.1332,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
37,b,0.002147282247974133,0.0007157607493247109,0.002147282247974133,0.76903,0.37377,0.80322,0.12907,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
