# source_log: /mnt/dataY/ydf/projects/LADD_og/logs/formal_nomosaic_20260528/baselines/rgb_yolo11n_hbb_800ep_cos_nomosaic_albu_b64_s42_gpu5.log
# source_log_size_bytes: 33783947
# note: extracted from raw log; ANSI progress control characters removed; full raw log retained on server 90.

800/800      2.53G     0.8638     0.4117     0.8092        132        256: 46% ━━━━━─────── 105/230 3.2it/s 33.6s<39.3s
800/800      2.53G     0.8652     0.4125     0.8095        158        256: 46% ━━━━━╸────── 106/230 3.1it/s 34.0s<40.0s
800/800      2.53G     0.8635     0.4118     0.8096        132        256: 47% ━━━━━╸────── 107/230 3.2it/s 34.3s<38.9s
800/800      2.53G     0.8634     0.4121     0.8097        109        256: 47% ━━━━━╸────── 108/230 3.2it/s 34.6s<38.2s
800/800      2.53G     0.8642     0.4122     0.8096        137        256: 47% ━━━━━╸────── 109/230 3.2it/s 34.9s<37.7s
800/800      2.53G     0.8646     0.4125     0.8096        180        256: 48% ━━━━━╸────── 110/230 3.2it/s 35.2s<37.3s
800/800      2.53G     0.8645     0.4126     0.8099        153        256: 48% ━━━━━╸────── 111/230 3.2it/s 35.5s<36.6s
800/800      2.53G     0.8638     0.4123     0.8098        132        256: 49% ━━━━━╸────── 112/230 3.3it/s 35.8s<36.1s[ WARN:0@182036.074] global grfmt_tiff.cpp:122 TIFF_Warning TIFFReadDirectory: Unknown field with tag 34264 (0x85d8) encountered
800/800      2.53G     0.8651     0.4126     0.8096        235        256: 49% ━━━━━╸────── 113/230 3.3it/s 36.1s<35.5s
800/800      2.53G     0.8639     0.4122     0.8096        118        256: 50% ━━━━━╸────── 114/230 3.3it/s 36.4s<35.3s
800/800      2.53G     0.8637     0.4123     0.8097        115        256: 50% ━━━━━━────── 115/230 3.2it/s 36.7s<35.5s
800/800      2.53G     0.8637     0.4125     0.8094        128        256: 50% ━━━━━━────── 116/230 3.3it/s 37.0s<34.9s
800/800      2.53G     0.8634     0.4123     0.8093        138        256: 51% ━━━━━━────── 117/230 3.2it/s 37.3s<35.1s
800/800      2.53G     0.8621      0.412      0.809        118        256: 51% ━━━━━━────── 118/230 3.2it/s 37.6s<35.0s[ WARN:0@182038.062] global grfmt_tiff.cpp:122 TIFF_Warning TIFFReadDirectory: Unknown field with tag 34264 (0x85d8) encountered
800/800      2.53G     0.8611     0.4117     0.8091        147        256: 52% ━━━━━━────── 119/230 3.2it/s 37.9s<34.2s
800/800      2.53G     0.8609     0.4115     0.8093        179        256: 52% ━━━━━━────── 120/230 3.2it/s 38.3s<34.2s
800/800      2.53G     0.8608     0.4115     0.8094        163        256: 53% ━━━━━━────── 121/230 3.2it/s 38.6s<34.5s
800/800      2.53G     0.8611     0.4115     0.8091        143        256: 53% ━━━━━━────── 122/230 3.0it/s 39.0s<35.5s
800/800      2.53G     0.8614     0.4115     0.8091        236        256: 53% ━━━━━━────── 123/230 3.0it/s 39.3s<35.2s
800/800      2.53G     0.8605     0.4113     0.8092        125        256: 54% ━━━━━━────── 124/230 3.0it/s 39.6s<34.8s[ WARN:0@182040.088] global grfmt_tiff.cpp:122 TIFF_Warning TIFFReadDirectory: Unknown field with tag 34264 (0x85d8) encountered
800/800      2.53G      0.861     0.4117     0.8092        129        256: 54% ━━━━━━╸───── 125/230 3.0it/s 40.0s<35.2s
800/800      2.53G     0.8597     0.4112     0.8092        117        256: 55% ━━━━━━╸───── 126/230 2.8it/s 40.4s<36.6s
800/800      2.53G     0.8603     0.4114     0.8091        166        256: 55% ━━━━━━╸───── 127/230 2.8it/s 40.7s<36.3s
800/800      2.53G     0.8597     0.4111     0.8089        136        256: 56% ━━━━━━╸───── 128/230 2.8it/s 41.1s<36.0s
800/800      2.53G     0.8597     0.4111     0.8087        134        256: 56% ━━━━━━╸───── 129/230 2.8it/s 41.4s<35.9s
800/800      2.53G     0.8593     0.4111     0.8087        119        256: 57% ━━━━━━╸───── 130/230 2.8it/s 41.8s<36.3s
800/800      2.53G     0.8592      0.411     0.8086        162        256: 57% ━━━━━━╸───── 131/230 2.8it/s 42.2s<35.2s
800/800      2.53G       0.86     0.4113     0.8086        137        256: 57% ━━━━━━╸───── 132/230 2.9it/s 42.5s<34.1s
800/800      2.53G      0.859      0.411     0.8086        173        256: 58% ━━━━━━╸───── 133/230 2.9it/s 42.8s<33.4s
800/800      2.53G     0.8588     0.4109     0.8086        193        256: 58% ━━━━━━╸───── 134/230 2.9it/s 43.2s<32.6s
800/800      2.53G     0.8593     0.4111     0.8088        156        256: 59% ━━━━━━━───── 135/230 2.9it/s 43.5s<32.6s
800/800      2.53G     0.8588      0.411     0.8087        112        256: 59% ━━━━━━━───── 136/230 3.0it/s 43.8s<31.8s[ WARN:0@182044.245] global grfmt_tiff.cpp:122 TIFF_Warning TIFFReadDirectory: Unknown field with tag 34264 (0x85d8) encountered
800/800      2.53G     0.8595     0.4116     0.8088        207        256: 60% ━━━━━━━───── 137/230 2.9it/s 44.2s<31.6s
800/800      2.53G     0.8589     0.4114     0.8089        130        256: 60% ━━━━━━━───── 138/230 3.0it/s 44.5s<30.9s
800/800      2.53G     0.8578     0.4111     0.8088        128        256: 60% ━━━━━━━───── 139/230 3.0it/s 44.8s<30.5s
800/800      2.53G     0.8577     0.4109     0.8089        132        256: 61% ━━━━━━━───── 140/230 3.0it/s 45.2s<30.1s
