epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
70,7849.54,2.23448,1.56755,1.1367,2.05964,1.60808,1.15187,1.70493,0.558044,0.473233,0.479211,0.254495,nan,nan,nan,nan,nan,nan,nan,0.00829225,0.00829225,0.00829225
71,8064.68,2.23663,1.57327,1.13315,2.07415,1.62634,1.15015,1.69965,0.564237,0.471632,0.480552,0.254313,nan,nan,nan,nan,nan,nan,nan,0.0082675,0.0082675,0.0082675
72,8281.08,2.22744,1.57374,1.139,2.06419,1.61517,1.1602,1.68306,0.566285,0.471299,0.481052,0.255237,nan,nan,nan,nan,nan,nan,nan,0.00824275,0.00824275,0.00824275
73,8496.65,2.24245,1.56976,1.13836,2.07437,1.62535,1.16047,1.62637,0.562023,0.474727,0.482294,0.25603,nan,nan,nan,nan,nan,nan,nan,0.008218,0.008218,0.008218
74,8717.95,2.2345,1.55831,1.13532,2.07101,1.61019,1.15733,1.61056,0.567888,0.474108,0.483302,0.256956,nan,nan,nan,nan,nan,nan,nan,0.00819325,0.00819325,0.00819325
75,8932.21,2.21422,1.55551,1.13698,2.04936,1.59833,1.16137,1.64494,0.565183,0.473643,0.48399,0.257522,nan,nan,nan,nan,nan,nan,nan,0.0081685,0.0081685,0.0081685
76,9155.12,2.21698,1.55317,1.13117,2.06698,1.60723,1.16146,1.57056,0.570002,0.473515,0.48469,0.258422,nan,nan,nan,nan,nan,nan,nan,0.00814375,0.00814375,0.00814375
77,9368.23,2.21647,1.55129,1.13366,2.06076,1.60397,1.16187,1.57474,0.563188,0.475479,0.485314,0.259049,nan,nan,nan,nan,nan,nan,nan,0.008119,0.008119,0.008119
78,9586.02,2.20965,1.54885,1.12891,2.0562,1.58456,1.1579,1.52623,0.56112,0.478494,0.487007,0.259116,nan,nan,nan,nan,nan,nan,nan,0.00809425,0.00809425,0.00809425
79,9811.11,2.21006,1.53841,1.13489,2.06128,1.58594,1.16753,1.47159,0.562313,0.478285,0.48791,0.2602,nan,nan,nan,nan,nan,nan,nan,0.0080695,0.0080695,0.0080695
80,10027.8,2.1971,1.53382,1.12672,2.04778,1.58035,1.16489,1.50102,0.560412,0.478771,0.487223,0.260703,nan,nan,nan,nan,nan,nan,nan,0.00804475,0.00804475,0.00804475
81,10243.4,2.21077,1.53898,1.1297,2.07035,1.59339,1.17141,1.48974,0.563932,0.479629,0.488552,0.261533,nan,nan,nan,nan,nan,nan,nan,0.00802,0.00802,0.00802
82,10461.9,2.22246,1.55339,1.13051,2.07787,1.59746,1.17532,1.4822,0.564757,0.478199,0.48807,0.262097,nan,nan,nan,nan,nan,nan,nan,0.00799525,0.00799525,0.00799525
83,10680.5,2.18755,1.51194,1.12134,2.0687,1.58224,1.1738,1.42426,0.567485,0.477153,0.488317,0.262707,nan,nan,nan,nan,nan,nan,nan,0.0079705,0.0079705,0.0079705
84,10893,2.21623,1.54081,1.12755,2.08143,1.60063,1.1804,1.42759,0.572643,0.476891,0.489403,0.263707,nan,nan,nan,nan,nan,nan,nan,0.00794575,0.00794575,0.00794575
85,11113.2,2.17605,1.5176,1.12892,2.0639,1.58873,1.18269,1.38095,0.572484,0.478628,0.490889,0.264191,nan,nan,nan,nan,nan,nan,nan,0.007921,0.007921,0.007921
86,11328.2,2.19107,1.51896,1.12395,2.07487,1.58776,1.18296,1.42604,0.571756,0.479168,0.491626,0.264591,nan,nan,nan,nan,nan,nan,nan,0.00789625,0.00789625,0.00789625
87,11550.5,2.18982,1.51795,1.12438,2.07049,1.59062,1.18618,1.38598,0.571257,0.479527,0.492301,0.264903,nan,nan,nan,nan,nan,nan,nan,0.0078715,0.0078715,0.0078715
88,11770.5,2.2076,1.54092,1.12858,2.08901,1.58932,1.19155,1.41033,0.576055,0.478732,0.492843,0.265639,nan,nan,nan,nan,nan,nan,nan,0.00784675,0.00784675,0.00784675
89,11990.9,2.18636,1.51321,1.12565,2.08408,1.5869,1.19457,1.34392,0.576518,0.481325,0.493448,0.266277,nan,nan,nan,nan,nan,nan,nan,0.007822,0.007822,0.007822
90,12209.4,2.18889,1.51429,1.11735,2.08292,1.59261,1.18948,1.30288,0.571399,0.482836,0.493635,0.266944,nan,nan,nan,nan,nan,nan,nan,0.00779725,0.00779725,0.00779725
91,12430.3,2.19293,1.51012,1.11792,2.08436,1.59681,1.19389,1.32675,0.573938,0.483301,0.494451,0.267083,nan,nan,nan,nan,nan,nan,nan,0.0077725,0.0077725,0.0077725
92,12646.1,2.16115,1.48696,1.11983,2.08076,1.59003,1.20086,1.31119,0.575084,0.482492,0.49451,0.267302,nan,nan,nan,nan,nan,nan,nan,0.00774775,0.00774775,0.00774775
93,12868.1,2.15651,1.48637,1.12315,2.08136,1.59106,1.20824,1.30447,0.574926,0.484119,0.495346,0.267979,nan,nan,nan,nan,nan,nan,nan,0.007723,0.007723,0.007723
94,13076.2,2.16067,1.47951,1.11748,2.09554,1.59751,1.2062,1.29884,0.575936,0.484759,0.496333,0.268618,nan,nan,nan,nan,nan,nan,nan,0.00769825,0.00769825,0.00769825
95,13297,2.156,1.48114,1.12238,2.08552,1.59829,1.21438,1.28933,0.57745,0.485677,0.49708,0.269344,nan,nan,nan,nan,nan,nan,nan,0.0076735,0.0076735,0.0076735
96,13506.5,2.16852,1.48392,1.11782,2.11897,1.61646,1.22243,1.23779,0.580776,0.486232,0.497746,0.269994,nan,nan,nan,nan,nan,nan,nan,0.00764875,0.00764875,0.00764875
97,13734.1,2.16439,1.47982,1.11405,2.10434,1.60415,1.22164,1.23769,0.581891,0.485715,0.498218,0.270431,nan,nan,nan,nan,nan,nan,nan,0.007624,0.007624,0.007624
98,13949,2.15834,1.47297,1.1143,2.11016,1.61256,1.22553,1.22184,0.581718,0.486083,0.498773,0.270709,nan,nan,nan,nan,nan,nan,nan,0.00759925,0.00759925,0.00759925
99,14167.2,2.16009,1.47664,1.12059,2.12055,1.62622,1.23877,1.22275,0.579087,0.486984,0.499154,0.271292,nan,nan,nan,nan,nan,nan,nan,0.0075745,0.0075745,0.0075745
100,14391,2.15823,1.47619,1.11402,2.12828,1.6277,1.23937,1.19981,0.579997,0.487669,0.500019,0.271943,nan,nan,nan,nan,nan,nan,nan,0.00754975,0.00754975,0.00754975
101,14598,2.15536,1.47729,1.11629,2.13492,1.63008,1.24271,1.20877,0.580828,0.487871,0.500496,0.27244,nan,nan,nan,nan,nan,nan,nan,0.007525,0.007525,0.007525
102,14821,2.16388,1.47523,1.11413,2.13442,1.62982,1.24683,1.23368,0.585195,0.488106,0.501582,0.272803,nan,nan,nan,nan,nan,nan,nan,0.00750025,0.00750025,0.00750025
103,15024.4,2.14535,1.46446,1.12013,2.12991,1.63698,1.25465,1.20805,0.581218,0.489588,0.502046,0.273265,nan,nan,nan,nan,nan,nan,nan,0.0074755,0.0074755,0.0074755
104,15249.5,2.15476,1.46031,1.10886,2.14123,1.62963,1.24719,1.18044,0.5815,0.489918,0.502806,0.273641,nan,nan,nan,nan,nan,nan,nan,0.00745075,0.00745075,0.00745075
105,15458,2.1437,1.46324,1.1149,2.14621,1.64493,1.26385,1.1965,0.579264,0.49042,0.503566,0.274177,nan,nan,nan,nan,nan,nan,nan,0.007426,0.007426,0.007426
106,15677.3,2.13312,1.46086,1.12035,2.15816,1.65239,1.2757,1.18732,0.579819,0.490599,0.503774,0.274712,nan,nan,nan,nan,nan,nan,nan,0.00740125,0.00740125,0.00740125
107,15891.2,2.15626,1.46597,1.11586,2.17395,1.66059,1.2686,1.15887,0.582473,0.489849,0.504183,0.274966,nan,nan,nan,nan,nan,nan,nan,0.0073765,0.0073765,0.0073765
108,16107.7,2.13818,1.45528,1.1172,2.16974,1.67634,1.28542,1.19772,0.58612,0.4893,0.505457,0.275499,nan,nan,nan,nan,nan,nan,nan,0.00735175,0.00735175,0.00735175
109,16323.7,2.1331,1.45257,1.11425,2.16503,1.67529,1.28688,1.13607,0.589415,0.489739,0.506229,0.276434,nan,nan,nan,nan,nan,nan,nan,0.007327,0.007327,0.007327
110,16538.7,2.1525,1.46069,1.11395,2.19874,1.69023,1.2957,1.15624,0.591626,0.488838,0.50631,0.277023,nan,nan,nan,nan,nan,nan,nan,0.00730225,0.00730225,0.00730225
111,16755.1,2.12675,1.44624,1.11248,2.19224,1.70114,1.30404,1.19056,0.595341,0.487989,0.506717,0.277414,nan,nan,nan,nan,nan,nan,nan,0.0072775,0.0072775,0.0072775
112,16966.3,2.12542,1.44624,1.11493,2.18705,1.70546,1.31053,1.1877,0.597645,0.488146,0.507366,0.278094,nan,nan,nan,nan,nan,nan,nan,0.00725275,0.00725275,0.00725275
113,17189.3,2.1437,1.44933,1.113,2.21179,1.71991,1.31448,1.19588,0.597898,0.488606,0.507494,0.278583,nan,nan,nan,nan,nan,nan,nan,0.007228,0.007228,0.007228
114,17408.4,2.13507,1.44987,1.11426,2.21561,1.72029,1.32165,1.14276,0.599501,0.489002,0.507928,0.279281,nan,nan,nan,nan,nan,nan,nan,0.00720325,0.00720325,0.00720325
115,17624.8,2.12255,1.44215,1.11377,2.22961,1.73789,1.32998,1.14184,0.598685,0.489575,0.508341,0.279707,nan,nan,nan,nan,nan,nan,nan,0.0071785,0.0071785,0.0071785
116,17851.6,2.11827,1.43764,1.11358,2.23289,1.73063,1.33554,1.13823,0.598879,0.489094,0.508288,0.279844,nan,nan,nan,nan,nan,nan,nan,0.00715375,0.00715375,0.00715375
117,18061.3,2.11672,1.43027,1.11105,2.22927,1.7449,1.34186,1.15969,0.60059,0.489111,0.509153,0.280773,nan,nan,nan,nan,nan,nan,nan,0.007129,0.007129,0.007129
118,18285.4,2.11936,1.43006,1.11134,2.2331,1.7457,1.35059,1.15571,0.600171,0.48983,0.509693,0.281381,nan,nan,nan,nan,nan,nan,nan,0.00710425,0.00710425,0.00710425
119,18494.8,2.11285,1.43033,1.10711,2.25679,1.76017,1.35772,1.13588,0.59823,0.491747,0.510223,0.281993,nan,nan,nan,nan,nan,nan,nan,0.0070795,0.0070795,0.0070795
120,18703.2,2.09907,1.4191,1.11308,2.24412,1.76909,1.36761,1.15912,0.594677,0.492716,0.510775,0.282536,nan,nan,nan,nan,nan,nan,nan,0.00705475,0.00705475,0.00705475
