evidence_group,model,protocol,schedule,run_key,label,init_source,rows_recorded,best_ap,best_epoch,last_ap,status,caveat,source
no-mosaic B entrance compressed,s,formal no-mosaic,B120 compressed,S4_current_kd_ramp,S4 current: S3 + KD ramp B120,converged SAR baseline detector + A2 teacher decomposition + KD ramp,120,0.62521,62,0.62111,completed compressed entrance,"Short compressed schedule; useful for entrance trend, not final B800 claim.",docs/experiments/figures/ladd_b_entrance_trends_20260614/source/S4_latest_results.csv
protocol split yolo-init check,n,formal no-mosaic,mixed historical/active,SAR baseline n no-mosaic,SAR baseline n no-mosaic,same-protocol SAR baseline,800,0.55654,734,0.55127,historical/diagnostic,Some LADD-like rows include sep/aux contamination; use as directional evidence only.,docs/experiments/figures/ladd_capacity_protocol_split_20260617/capacity_protocol_split_summary_20260617.csv
protocol split yolo-init check,n,formal no-mosaic,mixed historical/active,Current diagnostic n yolo-init A1->B_A2core (sep/aux),Current diagnostic n yolo-init A1->B_A2core (sep/aux),YOLO init A1/B diagnostic,684,0.54678,615,0.54206,historical/diagnostic,Some LADD-like rows include sep/aux contamination; use as directional evidence only.,docs/experiments/figures/ladd_capacity_protocol_split_20260617/capacity_protocol_split_summary_20260617.csv
protocol split yolo-init check,s,formal no-mosaic,mixed historical/active,SAR baseline s no-mosaic,SAR baseline s no-mosaic,same-protocol SAR baseline,800,0.62897,729,0.62233,historical/diagnostic,Some LADD-like rows include sep/aux contamination; use as directional evidence only.,docs/experiments/figures/ladd_capacity_protocol_split_20260617/capacity_protocol_split_summary_20260617.csv
protocol split yolo-init check,s,formal no-mosaic,mixed historical/active,LADD-like s yolo-init (sep/aux),LADD-like s yolo-init (sep/aux),YOLO init A1/B diagnostic,177,0.28862,177,0.28862,historical/diagnostic,Some LADD-like rows include sep/aux contamination; use as directional evidence only.,docs/experiments/figures/ladd_capacity_protocol_split_20260617/capacity_protocol_split_summary_20260617.csv
current mosaic100 clean A1B,n,mosaic100 close@100,A1 -> B 800,n_Static,YOLO11n Static,converged SAR baseline checkpoint -> A1 best -> B,800,0.57113,758,0.56836,running/completed current mainline,Current preferred protocol; not a YOLO-init comparison.,docs/experiments/ladd_mosaic100_mainline_curves_20260618/data/n_static_results.csv
current mosaic100 clean A1B,n,mosaic100 close@100,A1 -> B 800,n_Dynamic,YOLO11n Dynamic,converged SAR baseline checkpoint -> A1 best -> B,792,0.57544,749,0.57102,running/completed current mainline,Current preferred protocol; not a YOLO-init comparison.,docs/experiments/ladd_mosaic100_mainline_curves_20260618/data/n_dynamic_results.csv
current mosaic100 clean A1B,s,mosaic100 close@100,A1 -> B 800,s_Static,YOLO11s Static,converged SAR baseline checkpoint -> A1 best -> B,725,0.62600,725,0.62600,running/completed current mainline,Current preferred protocol; not a YOLO-init comparison.,docs/experiments/ladd_mosaic100_mainline_curves_20260618/data/s_static_4090_results.csv
current mosaic100 clean A1B,s,mosaic100 close@100,A1 -> B 800,s_Dynamic,YOLO11s Dynamic,converged SAR baseline checkpoint -> A1 best -> B,567,0.62303,567,0.62303,running/completed current mainline,Current preferred protocol; not a YOLO-init comparison.,docs/experiments/ladd_mosaic100_mainline_curves_20260618/data/s_dynamic_4090_results.csv
current mosaic100 clean A1B,s,mosaic100 close@100,A1 -> B 800,s_Probe-A,YOLO11s Probe-A,converged SAR baseline checkpoint -> A1 best -> B,450,0.60582,450,0.60582,running/completed current mainline,Current preferred protocol; not a YOLO-init comparison.,docs/experiments/ladd_mosaic100_mainline_curves_20260618/data/s_ladd_results.csv
