epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head
11,a2,0.002406,0.0008020000000000001,0.002406,1.00891,0.49848,0.82805,0.0,0.00158,0.1532,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,124.64813995361328,nan,nan,1.670140027999878
12,a2,0.0023466,0.0007822,0.0023466,1.00481,0.49832,0.82758,0.0,0.00157,0.1532,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,164.86460876464844,nan,nan,3.875443696975708
13,a2,0.0022872,0.0007624,0.0022872,1.00866,0.50046,0.82854,0.0,0.00158,0.1532,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,109.42481994628906,nan,nan,4.159136772155762
14,a2,0.0022278000000000003,0.0007426,0.0022278000000000003,1.0045,0.49841,0.82636,0.0,0.00154,0.1532,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,96.88993835449219,nan,nan,4.748922348022461
15,a2,0.0021684,0.0007228,0.0021684,0.99754,0.49507,0.82724,0.0,0.00148,0.15319,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,66.55873107910156,nan,nan,2.9125449657440186
16,a2,0.0021089999999999998,0.000703,0.0021089999999999998,0.9912,0.49173,0.82647,0.0,0.0015,0.15319,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,206.2690887451172,nan,nan,6.723899841308594
17,a2,0.0020496,0.0006831999999999999,0.0020496,0.98885,0.49259,0.82603,0.0,0.00147,0.15319,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,158.75454711914062,nan,nan,2.896369218826294
18,a2,0.0019901999999999997,0.0006633999999999999,0.0019901999999999997,0.98474,0.48865,0.82476,0.0,0.00145,0.15318,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,132.2506561279297,nan,nan,3.3359715938568115
19,a2,0.0019308000000000003,0.0006436,0.0019308000000000003,0.98588,0.48804,0.82594,0.0,0.0014,0.15318,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,203.8795623779297,nan,nan,3.3775720596313477
20,a2,0.0018714,0.0006238,0.0018714,0.9834,0.48783,0.82686,0.0,0.00138,0.15317,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,135.82122802734375,nan,nan,2.5855185985565186
21,a2,0.001812,0.000604,0.001812,0.98366,0.48805,0.827,0.0,0.00137,0.15317,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,139.66517639160156,nan,nan,2.578604221343994
22,a2,0.0017526000000000002,0.0005842000000000001,0.0017526000000000002,0.98082,0.48689,0.82528,0.0,0.00134,0.15317,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,100.08683776855469,nan,nan,4.386200428009033
23,a2,0.0016932000000000002,0.0005644000000000001,0.0016932000000000002,0.96468,0.48046,0.82451,0.0,0.00135,0.15317,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,165.0421142578125,nan,nan,4.16196870803833
24,a2,0.0016338000000000004,0.0005446000000000001,0.0016338000000000004,0.9697,0.48179,0.82493,0.0,0.00132,0.15317,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,97.26896667480469,nan,nan,3.9779345989227295
25,a2,0.0015744,0.0005248000000000001,0.0015744,0.97187,0.48305,0.82426,0.0,0.00129,0.15316,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,108.68550109863281,nan,nan,2.3286964893341064
26,a2,0.001515,0.000505,0.001515,0.96487,0.47883,0.82385,0.0,0.0013,0.15316,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,79.66451263427734,nan,nan,2.9332516193389893
