epoch,fitness,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),primary_metric,primary_metric_key,train/box_loss,train/cls_loss,train/dfl_loss,train/loss,train/lr,val/loss
12,0.10853343311649755,0.24677254386973516,0.10853343311649755,0.3952712107894065,0.2691357169783497,0.10853343311649755,metrics/mAP50-95(B),2.7456193452573006,2.0115048976344916,1.444737434907204,99.15405178174068,9.994504881061753e-05,95.16333451478377
13,0.11289557438660916,0.25449696832764485,0.11289557438660916,0.4020205629231753,0.2713409137684443,0.11289557438660916,metrics/mAP50-95(B),2.7585793169400166,2.0017777446702105,1.4509231565822822,99.31284095988799,9.993551074557474e-05,95.92581913160241
14,0.11250468376140303,0.2499181699692898,0.11250468376140303,0.4030793329493088,0.2702137550131445,0.11250468376140303,metrics/mAP50-95(B),2.7280118049426063,1.9650867125070213,1.4416441973969096,98.08785115099525,9.992521032380163e-05,95.53894938593325
15,0.10107129016712699,0.23403670837987878,0.10107129016712699,0.39551420170921303,0.2494930947785063,0.10107129016712699,metrics/mAP50-95(B),2.709970279634324,1.9624143703033257,1.4473738803598326,97.84675871454903,9.991414770414344e-05,95.91688123785931
16,0.10839047874678592,0.24833588956318134,0.10839047874678592,0.4117415387388579,0.2769633377886554,0.10839047874678592,metrics/mAP50-95(B),2.707193443923376,1.9411685124868394,1.4374425854521724,97.31022139437977,9.990232305719943e-05,94.90031595644743
17,0.12205110804514047,0.27223445497644005,0.12205110804514047,0.4195487594412807,0.30369413059919315,0.12205110804514047,metrics/mAP50-95(B),2.689954465322172,1.9137213223633096,1.433616227191043,96.51885081533517,9.988973656532032e-05,92.49635060351828
18,0.12006738698246147,0.2666697536006774,0.12006738698246147,0.4322456426723235,0.2881360720633537,0.12006738698246147,metrics/mAP50-95(B),2.6711643632651674,1.9124538356371248,1.4261818002328488,96.11285638757204,9.987638842260538e-05,92.74786352074665
19,0.11565995184851709,0.27009037574802036,0.11565995184851709,0.44250410547406643,0.29439898971269496,0.11565995184851709,metrics/mAP50-95(B),2.6776152044502184,1.9042190403688695,1.4308207317813013,96.12351275062353,9.986227883489944e-05,92.45756424613622
20,0.11748941514848728,0.26847098658374813,0.11748941514848728,0.4357709359476165,0.28982014974970477,0.11748941514848728,metrics/mAP50-95(B),2.673752192192535,1.8984208877240039,1.42492310327428,95.89733174946991,9.984740801978984e-05,93.09172868313996
21,0.12719090941935254,0.2795510183738153,0.12719090941935254,0.4276824405952449,0.3025126819640836,0.12719090941935254,metrics/mAP50-95(B),2.6591281586670954,1.8867412289460326,1.4194552759307812,95.39511734890704,9.983177620660293e-05,92.45819047015647
22,0.12425321137782516,0.27909800304662596,0.12425321137782516,0.4374472250866015,0.3088983417972023,0.12425321137782516,metrics/mAP50-95(B),2.665936022574405,1.8812776283973436,1.41109233717622,95.26072420392718,9.981538363640061e-05,91.23502455172331
23,0.12882132227131007,0.28712773933087743,0.12882132227131007,0.4212119760372672,0.32291093940596327,0.12882132227131007,metrics/mAP50-95(B),2.6673096093382673,1.8819997977534453,1.4207965957169444,95.47615669025849,9.979823056197658e-05,91.84105549687925
24,0.12989264957844748,0.27831145518814154,0.12989264957844748,0.41815909653937394,0.31444916924422517,0.12989264957844748,metrics/mAP50-95(B),2.6422100715834804,1.8498777448156019,1.4193441380331275,94.51495558094952,9.978031724785248e-05,92.68762392790421
